captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,20221108LA20556,live,94.58,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T04:13:41.624Z,494,533,92.68,25320,145953,74.4,25338,46179,23.54,25337,4034,2.06,207408,99,196166,716143,494,504,0.0,1.0,X,2022-11-09T03:58:18.423Z
1667968002,2022-11-08 22:26:42 -0600,1235204137f0f06fe3cd4983951d9356477924c9,20221108LA20556,live,99.0,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T04:24:26.699Z,523,533,98.12,25320,174191,73.55,25338,57880,24.44,25337,4764,2.01,207408,99,236835,716143,523,528,0.0,1.0,X,2022-11-09T03:58:18.423Z
1667968757,2022-11-08 22:39:17 -0600,444e7baf756125a86bedac9f7455307c41fed63a,20221108LA20556,live,99.0,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T04:38:11.533Z,530,533,99.44,25320,175312,73.37,25338,58805,24.61,25337,4819,2.02,207408,99,238936,716143,530,528,0.0,1.0,X,2022-11-09T03:58:18.423Z
1667969067,2022-11-08 22:44:27 -0600,73d0e74cb03400217dbc75a62135f42bc460c502,20221108LA20556,live,98.63,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T04:42:08.257Z,530,533,99.44,25320,175312,73.37,25338,58805,24.61,25337,4819,2.02,242254,99,238936,716143,530,526,0.0,1.0,X,2022-11-09T03:58:18.423Z
1667969116,2022-11-08 22:45:16 -0600,79682069eac6cae3840febac265b40363b9c51ff,20221108LA20556,live,98.56,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T04:44:22.510Z,530,533,99.44,25320,177158,72.86,25338,61095,25.13,25337,4895,2.01,246712,99,243148,716143,530,525,0.0,1.0,X,2022-11-09T03:58:18.423Z
1667969592,2022-11-08 22:53:12 -0600,1aa535c5b76797aa0c55f68109cd2149e6f7b08a,20221108LA20556,live,98.56,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T04:51:26.553Z,530,533,99.44,25320,177158,72.86,25338,61095,25.13,25337,4895,2.01,246712,99,243148,716143,530,525,0.0,1.0,X,2022-11-09T03:58:18.423Z
1667969723,2022-11-08 22:55:23 -0600,b509b5bfc09bde62e91159629c11e0b7e48daab9,20221108LA20556,live,98.69,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T04:54:06.752Z,531,533,99.62,25320,177379,72.85,25338,61207,25.14,25337,4898,2.01,246712,99,243484,716143,531,526,0.0,1.0,X,2022-11-09T03:58:18.423Z
1667972308,2022-11-08 23:38:28 -0600,ba9f5f7b5ce443fdefcabab3b6292f3cd1310af6,20221108LA20556,live,98.78,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T05:31:20.458Z,531,533,99.62,25320,177379,72.85,25338,61207,25.14,25337,4898,2.01,246492,99,243484,716143,531,526,0.0,1.0,X,2022-11-09T03:58:18.423Z
1667972364,2022-11-08 23:39:24 -0600,bfe9cb466aa6b65574c16effa903cd993efd4fe0,20221108LA20556,live,98.78,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T05:36:29.196Z,531,533,99.62,25320,177379,72.85,25338,61207,25.14,25337,4898,2.01,246492,99,243484,716143,531,526,0.0,1.0,X,2022-11-09T03:58:18.423Z
1667972810,2022-11-08 23:46:50 -0600,aa61daf8417c040e13c56de238053c966d7a0302,20221108LA20556,live,99.0,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T05:45:25.791Z,533,533,100.0,25320,177635,72.8,25338,61454,25.19,25337,4906,2.01,246205,99,243995,716143,533,528,0.0,1.0,X,2022-11-09T03:58:18.423Z
1667974988,2022-11-09 00:23:08 -0600,5d6616b419546bd84ca0c06ee5a7a5389ea5fc67,20221108LA20556,live,99.0,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T06:21:45.808Z,533,533,100.0,25320,177635,72.8,25338,61454,25.19,25337,4906,2.01,246205,99,243995,716143,533,528,0.0,1.0,X,2022-11-09T03:58:18.423Z
1668250929,2022-11-12 05:02:09 -0600,4445d507c7f9ac510b7c9f8cbe64dd6d41924dd4,20221108LA20556,live,99.0,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-12T11:01:03.164Z,533,533,100.0,25320,177636,72.8,25338,61454,25.19,25337,4906,2.01,246205,99,243996,716143,533,528,0.0,1.0,X,2022-11-09T03:58:18.423Z
1668510152,2022-11-15 05:02:32 -0600,4aa9e94abe2d3abc602cfa3eac5f2e399f0d9b69,20221108LA20556,live,99.0,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-15T11:02:13.285Z,533,533,100.0,25320,177639,72.8,25338,61454,25.19,25337,4906,2.01,246205,99,243999,716143,533,528,0.0,1.0,X,2022-11-09T03:58:18.423Z
1668596578,2022-11-16 05:02:58 -0600,1c53580951582eac68b66016e2e98a895c26387d,20221108LA20556,live,99.0,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-16T11:02:36.162Z,533,533,100.0,25320,177642,72.8,25338,61458,25.19,25337,4906,2.01,246205,99,244006,716143,533,528,0.0,1.0,X,2022-11-09T03:58:18.423Z
1669237140,2022-11-23 14:59:00 -0600,4c9badfa3e1bd624ac6aa14b6e66e62fb1c85f28,20221108LA20556,live,99.98,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-23T20:58:28.405Z,533,533,100.0,25320,177642,72.8,25338,61458,25.19,25337,4906,2.01,244044,100,244006,716143,533,528,0.0,1.0,X,2022-11-09T03:58:18.423Z
