captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108LA20556,live,0.0,LA,Louisiana,19,1,2022-11-09T01:00:00.000Z,state,2022-11-07T03:12:06.606Z,0,533,0.0,25320,0,0.0,25337,0,0.0,25338,0,0.0,273360,99,0,716143,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108LA20556,live,0.0,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-08T19:34:19.308Z,0,533,0.0,25320,0,0.0,25337,0,0.0,25338,0,0.0,283084,99,0,716143,0,0,,,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,20221108LA20556,live,0.0,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T02:03:46.646Z,0,533,0.0,25320,0,0.0,25337,0,0.0,25338,0,0.0,283084,99,0,716143,0,0,,,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,20221108LA20556,live,10.36,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T02:25:14.632Z,0,533,0.0,25320,21091,71.93,25338,7795,26.58,25337,436,1.49,283084,99,29322,716143,0,55,0.0,,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,20221108LA20556,live,10.36,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T02:30:46.529Z,0,533,0.0,25320,21091,71.93,25338,7795,26.58,25337,436,1.49,283084,99,29322,716143,0,55,0.0,,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,20221108LA20556,live,10.36,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T02:45:31.337Z,0,533,0.0,25320,21091,71.93,25338,7795,26.58,25337,436,1.49,283084,99,29322,716143,0,55,0.0,,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,20221108LA20556,live,23.22,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T02:59:15.193Z,112,533,21.01,25320,47758,72.65,25338,16739,25.47,25337,1236,1.88,283084,99,65733,716143,112,124,0.0,,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,20221108LA20556,live,24.86,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T03:01:17.002Z,126,533,23.64,25320,50734,72.1,25338,18299,26.0,25337,1336,1.9,283084,99,70369,716143,126,132,0.0,,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,20221108LA20556,live,27.3,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T03:08:02.902Z,127,533,23.83,25320,51000,72.02,25338,18470,26.08,25337,1346,1.9,259352,99,70816,716143,127,146,0.0,,,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,20221108LA20556,live,52.36,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T03:12:56.027Z,240,533,45.03,25320,80137,72.8,25338,27794,25.25,25337,2147,1.95,210253,99,110078,716143,240,279,0.0,,,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,20221108LA20556,live,67.92,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T03:24:53.756Z,336,533,63.04,25320,102721,72.82,25338,35466,25.14,25337,2873,2.04,207700,99,141060,716143,336,362,0.0,1.0,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,20221108LA20556,live,75.19,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T03:28:44.666Z,378,533,70.92,25320,115870,74.19,25338,37166,23.8,25337,3135,2.01,207700,99,156171,716143,378,401,0.0,1.0,,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,20221108LA20556,live,75.92,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T03:35:04.446Z,386,533,72.42,25320,118273,74.31,25338,37701,23.69,25337,3196,2.01,209647,99,159170,716143,386,405,0.0,1.0,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,20221108LA20556,live,87.32,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T03:43:50.489Z,448,533,84.05,25320,133604,73.77,25338,43799,24.19,25337,3696,2.04,207408,99,181099,716143,448,465,0.0,1.0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,20221108LA20556,live,94.58,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T03:58:18.726Z,494,533,92.68,25320,145953,74.4,25338,46179,23.54,25337,4034,2.06,207408,99,196166,716143,494,504,0.0,1.0,X,2022-11-09T03:58:18.423Z
