captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.22542.first,candidates.22542.last,candidates.22542.incumbent,candidates.22542.party,candidates.22542.candidateID,candidates.22542.ballotOrder,candidates.22542.polID,candidates.22542.polNum,candidates.22542.electWon,candidates.23189.first,candidates.23189.last,candidates.23189.party,candidates.23189.candidateID,candidates.23189.ballotOrder,candidates.23189.polID,candidates.23189.polNum,candidates.23189.electWon,candidates.23720.first,candidates.23720.last,candidates.23720.party,candidates.23720.candidateID,candidates.23720.ballotOrder,candidates.23720.polID,candidates.23720.polNum,candidates.23720.electWon,candidates.22542.winnerDateTime
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,304554,99,272234,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,304554,99,281870,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,292276,99,283848,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,304554,99,283848,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,292276,99,283848,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,292276,99,283896,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,293089,99,284376,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,293089,99,284390,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,289969,99,284390,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
1667968622,2022-11-08 22:37:02 -0600,e74479d04a2cbc206da9d05d88b7661e84a5267c,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,287263,99,284390,1211252,True,20221108FL10011,2022-11-08,FL,22542,Kat,Cammack,True,GOP,22542,1,69383,15371,0,Danielle,Hawk,Dem,23189,2,71547,15689,0,Linda,Brooks,NPA,23720,3,71770,15978,0,2022-11-09T01:32:31.496Z
