captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.27882.first,candidates.27882.last,candidates.27882.abbrv,candidates.27882.party,candidates.27882.incumbent,candidates.27882.candidateID,candidates.27882.polID,candidates.27882.ballotOrder,candidates.27882.polNum,candidates.27882.electWon,candidates.28451.first,candidates.28451.last,candidates.28451.abbrv,candidates.28451.party,candidates.28451.candidateID,candidates.28451.polID,candidates.28451.ballotOrder,candidates.28451.polNum,candidates.28451.electWon,candidates.27882.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,WI-20221108_Eday62,50,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 5,5,401682,99,0,588663,True,20221108WI50056,2022-11-08,WI,27882,Scott,Fitzgerald,Fitzgerld,GOP,True,27882,59140,2,50665,0,Mike,Van Someren,VanSomrn,Dem,28451,71226,1,53515,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,WI-20221108_Eday80,50,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 5,5,529754,99,0,588663,True,20221108WI50056,2022-11-08,WI,27882,Scott,Fitzgerald,Fitzgerld,GOP,True,27882,59140,2,50665,0,Mike,Van Someren,VanSomrn,Dem,28451,71226,1,53515,0,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,529754,99,12066,588663,True,20221108WI50056,2022-11-08,WI,27882,Scott,Fitzgerald,Fitzgerld,GOP,True,27882,59140,2,50665,0,Mike,Van Someren,VanSomrn,Dem,28451,71226,1,53515,0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,529754,99,23585,588663,True,20221108WI50056,2022-11-08,WI,27882,Scott,Fitzgerald,Fitzgerld,GOP,True,27882,59140,2,50665,0,Mike,Van Someren,VanSomrn,Dem,28451,71226,1,53515,0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,529754,99,191140,588663,True,20221108WI50056,2022-11-08,WI,27882,Scott,Fitzgerald,Fitzgerld,GOP,True,27882,59140,2,50665,0,Mike,Van Someren,VanSomrn,Dem,28451,71226,1,53515,0,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,529754,99,196803,588663,True,20221108WI50056,2022-11-08,WI,27882,Scott,Fitzgerald,Fitzgerld,GOP,True,27882,59140,2,50665,0,Mike,Van Someren,VanSomrn,Dem,28451,71226,1,53515,0,,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,529754,99,257910,588663,True,20221108WI50056,2022-11-08,WI,27882,Scott,Fitzgerald,Fitzgerld,GOP,True,27882,59140,2,50665,0,Mike,Van Someren,VanSomrn,Dem,28451,71226,1,53515,0,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,529754,99,250900,588663,True,20221108WI50056,2022-11-08,WI,27882,Scott,Fitzgerald,Fitzgerld,GOP,True,27882,59140,2,50665,0,Mike,Van Someren,VanSomrn,Dem,28451,71226,1,53515,0,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,529754,99,304264,588663,True,20221108WI50056,2022-11-08,WI,27882,Scott,Fitzgerald,Fitzgerld,GOP,True,27882,59140,2,50665,0,Mike,Van Someren,VanSomrn,Dem,28451,71226,1,53515,0,,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,529754,99,313648,588663,True,20221108WI50056,2022-11-08,WI,27882,Scott,Fitzgerald,Fitzgerld,GOP,True,27882,59140,2,50665,0,Mike,Van Someren,VanSomrn,Dem,28451,71226,1,53515,0,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,529754,99,334179,588663,True,20221108WI50056,2022-11-08,WI,27882,Scott,Fitzgerald,Fitzgerld,GOP,True,27882,59140,2,50665,0,Mike,Van Someren,VanSomrn,Dem,28451,71226,1,53515,0,,
