captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.56976.first,candidates.56976.last,candidates.56976.party,candidates.56976.incumbent,candidates.56976.candidateID,candidates.56976.polID,candidates.56976.ballotOrder,candidates.56976.polNum,candidates.56976.electWon,candidates.62899.first,candidates.62899.last,candidates.62899.abbrv,candidates.62899.party,candidates.62899.candidateID,candidates.62899.polID,candidates.62899.ballotOrder,candidates.62899.polNum,candidates.62899.electWon,candidates.63497.first,candidates.63497.last,candidates.63497.party,candidates.63497.candidateID,candidates.63497.polID,candidates.63497.ballotOrder,candidates.63497.polNum,candidates.63497.electWon,candidates.56976.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,TX-20221108_Eday62,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,534317,99,0,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,TX-20221108_Eday80,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,211329,99,0,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,211329,99,69307,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,211329,99,69307,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,2022-11-09T01:53:36.197Z,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,211329,99,71483,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,2022-11-09T01:53:36.197Z,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,211329,99,72224,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,2022-11-09T01:53:36.197Z,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,211329,99,78494,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,2022-11-09T01:53:36.197Z,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,211329,99,80345,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,2022-11-09T01:53:36.197Z,
1667970594,2022-11-08 23:09:54 -0600,d4f30f0656d3b91d4423d751f85b9496715af7d9,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,211329,99,94055,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,2022-11-09T01:53:36.197Z,
1667974664,2022-11-09 00:17:44 -0600,d987a91643923201706646f74ed6cc4da6a088a6,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Parts Dallas/Ft. Worth,True,District 33,33,211329,99,97983,1243007,True,20221108TX49477,2022-11-08,TX,56976,Marc,Veasey,Dem,True,56976,61950,3,49235,0,Patrick,Gillespie,Gillespi,GOP,62899,69900,2,52937,0,Ken,Ashby,Lib,63497,333,1,50355,0,2022-11-09T01:53:36.197Z,
