captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.abbrv,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.35445.first,candidates.35445.last,candidates.35445.party,candidates.35445.candidateID,candidates.35445.ballotOrder,candidates.35445.polID,candidates.35445.polNum,candidates.35445.electWon,candidates.35447.first,candidates.35447.last,candidates.35447.party,candidates.35447.candidateID,candidates.35447.ballotOrder,candidates.35447.polID,candidates.35447.polNum,candidates.35447.electWon,candidates.35682.first,candidates.35682.last,candidates.35682.party,candidates.35682.candidateID,candidates.35682.ballotOrder,candidates.35682.polID,candidates.35682.polNum,candidates.35682.electWon,candidates.35445.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MA-20221108_Eday80,22,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Charlie,Baker,Baker,GOP,32606,60668,27237,True,True,True,3000000,95,0,5134226,True,20221108MA22957,2022-11-08,MA,Maura,Healey,Dem,35445,2,71279,27427,0,Geoff,Diehl,GOP,35447,1,67466,26735,0,Kevin,Reed,Lib,35682,3,71807,28338,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,MA-20221108_Eday80,22,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Charlie,Baker,Baker,GOP,32606,60668,27237,True,True,True,2900000,95,0,4838359,True,20221108MA22957,2022-11-08,MA,Maura,Healey,Dem,35445,2,71279,27427,0,Geoff,Diehl,GOP,35447,1,67466,26735,0,Kevin,Reed,Lib,35682,3,71807,28338,0,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,MA-20221108_Eday80,22,General,G,Polls Closed/Waiting First Report,Called,G,Governor,Charlie,Baker,Baker,GOP,32606,60668,27237,True,True,True,2900000,95,0,4838359,True,20221108MA22957,2022-11-08,MA,Maura,Healey,Dem,35445,2,71279,27427,0,Geoff,Diehl,GOP,35447,1,67466,26735,0,Kevin,Reed,Lib,35682,3,71807,28338,0,2022-11-09T01:00:04.280Z,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,G,Governor,Charlie,Baker,Baker,GOP,32606,60668,27237,True,True,True,2900000,95,1735,4838359,True,20221108MA22957,2022-11-08,MA,Maura,Healey,Dem,35445,2,71279,27427,0,Geoff,Diehl,GOP,35447,1,67466,26735,0,Kevin,Reed,Lib,35682,3,71807,28338,0,2022-11-09T01:00:04.280Z,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,G,Governor,Charlie,Baker,Baker,GOP,32606,60668,27237,True,True,True,2900000,95,4592,4838359,True,20221108MA22957,2022-11-08,MA,Maura,Healey,Dem,35445,2,71279,27427,0,Geoff,Diehl,GOP,35447,1,67466,26735,0,Kevin,Reed,Lib,35682,3,71807,28338,0,2022-11-09T01:00:04.280Z,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,G,Governor,Charlie,Baker,Baker,GOP,32606,60668,27237,True,True,True,2900000,95,32057,4838359,True,20221108MA22957,2022-11-08,MA,Maura,Healey,Dem,35445,2,71279,27427,0,Geoff,Diehl,GOP,35447,1,67466,26735,0,Kevin,Reed,Lib,35682,3,71807,28338,0,2022-11-09T01:00:04.280Z,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,G,Governor,Charlie,Baker,Baker,GOP,32606,60668,27237,True,True,True,2900000,95,61632,4838359,True,20221108MA22957,2022-11-08,MA,Maura,Healey,Dem,35445,2,71279,27427,0,Geoff,Diehl,GOP,35447,1,67466,26735,0,Kevin,Reed,Lib,35682,3,71807,28338,0,2022-11-09T01:00:04.280Z,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,G,Governor,Charlie,Baker,Baker,GOP,32606,60668,27237,True,True,True,2900000,95,32057,4838359,True,20221108MA22957,2022-11-08,MA,Maura,Healey,Dem,35445,2,71279,27427,0,Geoff,Diehl,GOP,35447,1,67466,26735,0,Kevin,Reed,Lib,35682,3,71807,28338,0,2022-11-09T01:00:04.280Z,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,G,Governor,Charlie,Baker,Baker,GOP,32606,60668,27237,True,True,True,2900000,95,61632,4838359,True,20221108MA22957,2022-11-08,MA,Maura,Healey,Dem,35445,2,71279,27427,0,Geoff,Diehl,GOP,35447,1,67466,26735,0,Kevin,Reed,Lib,35682,3,71807,28338,0,2022-11-09T01:00:04.280Z,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,MA-20221108_Eday80,22,General,G,Active Tabulation,Called,G,Governor,Charlie,Baker,Baker,GOP,32606,60668,27237,True,True,True,2900000,95,96866,4838359,True,20221108MA22957,2022-11-08,MA,Maura,Healey,Dem,35445,2,71279,27427,0,Geoff,Diehl,GOP,35447,1,67466,26735,0,Kevin,Reed,Lib,35682,3,71807,28338,0,2022-11-09T01:00:04.280Z,
