captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.6172.first,candidates.6172.last,candidates.6172.party,candidates.6172.candidateID,candidates.6172.polID,candidates.6172.ballotOrder,candidates.6172.polNum,candidates.6172.electWon,candidates.6175.first,candidates.6175.last,candidates.6175.abbrv,candidates.6175.party,candidates.6175.candidateID,candidates.6175.polID,candidates.6175.ballotOrder,candidates.6175.polNum,candidates.6175.electWon,candidates.6425.first,candidates.6425.last,candidates.6425.party,candidates.6425.candidateID,candidates.6425.polID,candidates.6425.ballotOrder,candidates.6425.polNum,candidates.6425.electWon,candidates.6428.first,candidates.6428.last,candidates.6428.abbrv,candidates.6428.party,candidates.6428.candidateID,candidates.6428.polID,candidates.6428.ballotOrder,candidates.6428.polNum,candidates.6428.electWon,candidates.6429.first,candidates.6429.last,candidates.6429.party,candidates.6429.candidateID,candidates.6429.polID,candidates.6429.ballotOrder,candidates.6429.polNum,candidates.6429.electWon,candidates.6172.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,OR-20221108_Eday62,38,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 4,4,321545,99,0,755939,True,20221108OR38531,2022-11-08,OR,Val,Hoyle,Dem,6172,70181,4,40411,0,Alek,Skarlatos,Skarlats,GOP,6175,68661,1,41099,0,Mike,Beilstein,PAG,6425,59807,2,40273,0,Levi,Leatherberry,Lthrbrry,Ind,6428,71782,3,41426,0,Jim,Howard,CST,6429,71786,5,41427,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,OR-20221108_Eday80,38,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 4,4,399481,99,0,755939,True,20221108OR38531,2022-11-08,OR,Val,Hoyle,Dem,6172,70181,4,40411,0,Alek,Skarlatos,Skarlats,GOP,6175,68661,1,41099,0,Mike,Beilstein,PAG,6425,59807,2,40273,0,Levi,Leatherberry,Lthrbrry,Ind,6428,71782,3,41426,0,Jim,Howard,CST,6429,71786,5,41427,0,,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,OR-20221108_Eday80,38,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 4,4,399481,99,0,755939,True,20221108OR38531,2022-11-08,OR,Val,Hoyle,Dem,6172,70181,4,40411,0,Alek,Skarlatos,Skarlats,GOP,6175,68661,1,41099,0,Mike,Beilstein,PAG,6425,59807,2,40273,0,Levi,Leatherberry,Lthrbrry,Ind,6428,71782,3,41426,0,Jim,Howard,CST,6429,71786,5,41427,0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,OR-20221108_Eday80,38,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,399481,99,110107,755939,True,20221108OR38531,2022-11-08,OR,Val,Hoyle,Dem,6172,70181,4,40411,0,Alek,Skarlatos,Skarlats,GOP,6175,68661,1,41099,0,Mike,Beilstein,PAG,6425,59807,2,40273,0,Levi,Leatherberry,Lthrbrry,Ind,6428,71782,3,41426,0,Jim,Howard,CST,6429,71786,5,41427,0,,
1667967636,2022-11-08 22:20:36 -0600,1bed774242ed32fb5f86bc6fed50c68740cf5631,OR-20221108_Eday80,38,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,399481,99,110686,755939,True,20221108OR38531,2022-11-08,OR,Val,Hoyle,Dem,6172,70181,4,40411,0,Alek,Skarlatos,Skarlats,GOP,6175,68661,1,41099,0,Mike,Beilstein,PAG,6425,59807,2,40273,0,Levi,Leatherberry,Lthrbrry,Ind,6428,71782,3,41426,0,Jim,Howard,CST,6429,71786,5,41427,0,,
1667971032,2022-11-08 23:17:12 -0600,84fafb476f7846131500489058ff24997434ed54,OR-20221108_Eday80,38,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,399481,99,246842,755939,True,20221108OR38531,2022-11-08,OR,Val,Hoyle,Dem,6172,70181,4,40411,0,Alek,Skarlatos,Skarlats,GOP,6175,68661,1,41099,0,Mike,Beilstein,PAG,6425,59807,2,40273,0,Levi,Leatherberry,Lthrbrry,Ind,6428,71782,3,41426,0,Jim,Howard,CST,6429,71786,5,41427,0,,
1667972675,2022-11-08 23:44:35 -0600,abc190fd74975557bf2546720ebdf83a0ace1d57,OR-20221108_Eday80,38,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,399481,99,246865,755939,True,20221108OR38531,2022-11-08,OR,Val,Hoyle,Dem,6172,70181,4,40411,0,Alek,Skarlatos,Skarlats,GOP,6175,68661,1,41099,0,Mike,Beilstein,PAG,6425,59807,2,40273,0,Levi,Leatherberry,Lthrbrry,Ind,6428,71782,3,41426,0,Jim,Howard,CST,6429,71786,5,41427,0,,
1667974141,2022-11-09 00:09:01 -0600,6ac032f537e1cf474dd6798112535df8c4f1f419,OR-20221108_Eday80,38,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,396239,99,251684,755939,True,20221108OR38531,2022-11-08,OR,Val,Hoyle,Dem,6172,70181,4,40411,0,Alek,Skarlatos,Skarlats,GOP,6175,68661,1,41099,0,Mike,Beilstein,PAG,6425,59807,2,40273,0,Levi,Leatherberry,Lthrbrry,Ind,6428,71782,3,41426,0,Jim,Howard,CST,6429,71786,5,41427,0,,
1667975032,2022-11-09 00:23:52 -0600,2b4eef55da041b24d8b907ba1775c35ebda992e0,OR-20221108_Eday80,38,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,396239,99,252389,755939,True,20221108OR38531,2022-11-08,OR,Val,Hoyle,Dem,6172,70181,4,40411,0,Alek,Skarlatos,Skarlats,GOP,6175,68661,1,41099,0,Mike,Beilstein,PAG,6425,59807,2,40273,0,Levi,Leatherberry,Lthrbrry,Ind,6428,71782,3,41426,0,Jim,Howard,CST,6429,71786,5,41427,0,,
1667975898,2022-11-09 00:38:18 -0600,7609424c163438fd3cafbbf7ed6226754e52c1bd,OR-20221108_Eday80,38,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,396239,99,253148,755939,True,20221108OR38531,2022-11-08,OR,Val,Hoyle,Dem,6172,70181,4,40411,0,Alek,Skarlatos,Skarlats,GOP,6175,68661,1,41099,0,Mike,Beilstein,PAG,6425,59807,2,40273,0,Levi,Leatherberry,Lthrbrry,Ind,6428,71782,3,41426,0,Jim,Howard,CST,6429,71786,5,41427,0,,
