captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.37393.first,candidates.37393.last,candidates.37393.party,candidates.37393.candidateID,candidates.37393.ballotOrder,candidates.37393.polID,candidates.37393.polNum,candidates.37393.electWon,candidates.37401.first,candidates.37401.last,candidates.37401.party,candidates.37401.candidateID,candidates.37401.ballotOrder,candidates.37401.polID,candidates.37401.polNum,candidates.37401.electWon,candidates.37974.first,candidates.37974.last,candidates.37974.party,candidates.37974.candidateID,candidates.37974.ballotOrder,candidates.37974.polID,candidates.37974.polNum,candidates.37974.electWon,candidates.37975.first,candidates.37975.last,candidates.37975.abbrv,candidates.37975.party,candidates.37975.candidateID,candidates.37975.ballotOrder,candidates.37975.polID,candidates.37975.polNum,candidates.37975.electWon,candidates.37401.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MI-20221108_Eday64,23,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 13,13,286164,99,0,1366287,True,20221108MI23817,2022-11-08,MI,Martell,Bivings,GOP,37393,2,70852,30141,0,Shri,Thanedar,Dem,37401,1,67152,29344,0,Simone,Coleman,WCP,37974,4,71670,30090,0,Chris,Dardzinski,Dardznsk,UST,37975,3,71669,30500,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,MI-20221108_Eday80,23,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 13,13,286164,99,0,1366287,True,20221108MI23817,2022-11-08,MI,Martell,Bivings,GOP,37393,2,70852,30141,0,Shri,Thanedar,Dem,37401,1,67152,29344,0,Simone,Coleman,WCP,37974,4,71670,30090,0,Chris,Dardzinski,Dardznsk,UST,37975,3,71669,30500,0,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,286164,99,0,1366287,True,20221108MI23817,2022-11-08,MI,Martell,Bivings,GOP,37393,2,70852,30141,0,Shri,Thanedar,Dem,37401,1,67152,29344,0,Simone,Coleman,WCP,37974,4,71670,30090,0,Chris,Dardzinski,Dardznsk,UST,37975,3,71669,30500,0,,
1667968002,2022-11-08 22:26:42 -0600,1235204137f0f06fe3cd4983951d9356477924c9,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,286164,99,35345,1366287,True,20221108MI23817,2022-11-08,MI,Martell,Bivings,GOP,37393,2,70852,30141,0,Shri,Thanedar,Dem,37401,1,67152,29344,0,Simone,Coleman,WCP,37974,4,71670,30090,0,Chris,Dardzinski,Dardznsk,UST,37975,3,71669,30500,0,,
1667973793,2022-11-09 00:03:13 -0600,471324a7f30a6780d5e1d2eb6bf6c21c79776e91,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,286164,99,107233,1366287,True,20221108MI23817,2022-11-08,MI,Martell,Bivings,GOP,37393,2,70852,30141,0,Shri,Thanedar,Dem,37401,1,67152,29344,0,Simone,Coleman,WCP,37974,4,71670,30090,0,Chris,Dardzinski,Dardznsk,UST,37975,3,71669,30500,0,,
1667975609,2022-11-09 00:33:29 -0600,62fa28ab1db323241f81f05574f15005f7d100fe,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 13,13,286164,99,107233,1366287,True,20221108MI23817,2022-11-08,MI,Martell,Bivings,GOP,37393,2,70852,30141,0,Shri,Thanedar,Dem,37401,1,67152,29344,0,Simone,Coleman,WCP,37974,4,71670,30090,0,Chris,Dardzinski,Dardznsk,UST,37975,3,71669,30500,0,2022-11-09T06:18:56.148Z,
1667975652,2022-11-09 00:34:12 -0600,d498600900e4c0350d8f00907a8e8a97bd48aba6,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,286164,99,107233,1366287,True,20221108MI23817,2022-11-08,MI,Martell,Bivings,GOP,37393,2,70852,30141,0,Shri,Thanedar,Dem,37401,1,67152,29344,0,Simone,Coleman,WCP,37974,4,71670,30090,0,Chris,Dardzinski,Dardznsk,UST,37975,3,71669,30500,0,,
1667975692,2022-11-09 00:34:52 -0600,da1c62563fe966a79ac256315975a76cf151abd0,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 13,13,286164,99,107233,1366287,True,20221108MI23817,2022-11-08,MI,Martell,Bivings,GOP,37393,2,70852,30141,0,Shri,Thanedar,Dem,37401,1,67152,29344,0,Simone,Coleman,WCP,37974,4,71670,30090,0,Chris,Dardzinski,Dardznsk,UST,37975,3,71669,30500,0,2022-11-09T06:18:56.148Z,
1667978664,2022-11-09 01:24:24 -0600,73bce36c5ea8401647e246b61818fdde84855229,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 13,13,286164,99,117058,1366287,True,20221108MI23817,2022-11-08,MI,Martell,Bivings,GOP,37393,2,70852,30141,0,Shri,Thanedar,Dem,37401,1,67152,29344,0,Simone,Coleman,WCP,37974,4,71670,30090,0,Chris,Dardzinski,Dardznsk,UST,37975,3,71669,30500,0,2022-11-09T06:18:56.148Z,
1667980757,2022-11-09 01:59:17 -0600,72f60e217e1e476f42d6eb7260450e361322e2a9,MI-20221108_Eday80,23,General,G,Active Tabulation,Called,H,U.S. House,True,District 13,13,286164,99,208702,1366287,True,20221108MI23817,2022-11-08,MI,Martell,Bivings,GOP,37393,2,70852,30141,0,Shri,Thanedar,Dem,37401,1,67152,29344,0,Simone,Coleman,WCP,37974,4,71670,30090,0,Chris,Dardzinski,Dardznsk,UST,37975,3,71669,30500,0,2022-11-09T06:18:56.148Z,
