captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.60809.first,candidates.60809.last,candidates.60809.incumbent,candidates.60809.party,candidates.60809.candidateID,candidates.60809.ballotOrder,candidates.60809.polID,candidates.60809.polNum,candidates.60809.electWon,candidates.62967.first,candidates.62967.last,candidates.62967.party,candidates.62967.candidateID,candidates.62967.ballotOrder,candidates.62967.polID,candidates.62967.polNum,candidates.62967.electWon,candidates.60809.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,TX-20221108_Eday80,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,Gulf Coast/Corpus Cristi,True,District 27,27,246596,99,0,1194155,True,20221108TX45897,2022-11-08,TX,60809,Michael,Cloud,True,GOP,60809,1,66028,51912,0,Maclovio,Perez,Dem,62967,2,69874,53040,0,,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Gulf Coast/Corpus Cristi,True,District 27,27,246596,99,61163,1194155,True,20221108TX45897,2022-11-08,TX,60809,Michael,Cloud,True,GOP,60809,1,66028,51912,0,Maclovio,Perez,Dem,62967,2,69874,53040,0,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Gulf Coast/Corpus Cristi,True,District 27,27,246596,99,76327,1194155,True,20221108TX45897,2022-11-08,TX,60809,Michael,Cloud,True,GOP,60809,1,66028,51912,0,Maclovio,Perez,Dem,62967,2,69874,53040,0,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Gulf Coast/Corpus Cristi,True,District 27,27,246596,99,61163,1194155,True,20221108TX45897,2022-11-08,TX,60809,Michael,Cloud,True,GOP,60809,1,66028,51912,0,Maclovio,Perez,Dem,62967,2,69874,53040,0,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Gulf Coast/Corpus Cristi,True,District 27,27,246596,99,76327,1194155,True,20221108TX45897,2022-11-08,TX,60809,Michael,Cloud,True,GOP,60809,1,66028,51912,0,Maclovio,Perez,Dem,62967,2,69874,53040,0,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Gulf Coast/Corpus Cristi,True,District 27,27,246596,99,91233,1194155,True,20221108TX45897,2022-11-08,TX,60809,Michael,Cloud,True,GOP,60809,1,66028,51912,0,Maclovio,Perez,Dem,62967,2,69874,53040,0,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Gulf Coast/Corpus Cristi,True,District 27,27,246596,99,80252,1194155,True,20221108TX45897,2022-11-08,TX,60809,Michael,Cloud,True,GOP,60809,1,66028,51912,0,Maclovio,Perez,Dem,62967,2,69874,53040,0,,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Gulf Coast/Corpus Cristi,True,District 27,27,246596,99,94272,1194155,True,20221108TX45897,2022-11-08,TX,60809,Michael,Cloud,True,GOP,60809,1,66028,51912,0,Maclovio,Perez,Dem,62967,2,69874,53040,0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Gulf Coast/Corpus Cristi,True,District 27,27,246596,99,105799,1194155,True,20221108TX45897,2022-11-08,TX,60809,Michael,Cloud,True,GOP,60809,1,66028,51912,0,Maclovio,Perez,Dem,62967,2,69874,53040,0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Gulf Coast/Corpus Cristi,True,District 27,27,246596,99,121972,1194155,True,20221108TX45897,2022-11-08,TX,60809,Michael,Cloud,True,GOP,60809,1,66028,51912,0,Maclovio,Perez,Dem,62967,2,69874,53040,0,,
