captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.86412.first,candidates.86412.last,candidates.86412.abbrv,candidates.86412.party,candidates.86412.candidateID,candidates.86412.ballotOrder,candidates.86412.polID,candidates.86412.polNum,candidates.86412.electWon,candidates.86414.first,candidates.86414.last,candidates.86414.abbrv,candidates.86414.party,candidates.86414.candidateID,candidates.86414.ballotOrder,candidates.86414.polID,candidates.86414.polNum,candidates.86414.electWon,candidates.86414.winnerDateTime
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,295111,99,170551,1233806,True,20221108NY36603,2022-11-08,NY,Max,Della Pia,DellaPia,Dem,86412,1,71465,55602,0,Nick,Langworthy,Lngwrthy,GOP,86414,2,71466,55604,0,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,326354,99,254591,1233806,True,20221108NY36603,2022-11-08,NY,Max,Della Pia,DellaPia,Dem,86412,1,71465,55602,0,Nick,Langworthy,Lngwrthy,GOP,86414,2,71466,55604,0,2022-11-09T03:48:11.357Z
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,326354,99,260967,1233806,True,20221108NY36603,2022-11-08,NY,Max,Della Pia,DellaPia,Dem,86412,1,71465,55602,0,Nick,Langworthy,Lngwrthy,GOP,86414,2,71466,55604,0,2022-11-09T03:48:11.357Z
1667968316,2022-11-08 22:31:56 -0600,c7364a5d7197a125b098705a317e32ff0afe0f57,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,326354,99,269269,1233806,True,20221108NY36603,2022-11-08,NY,Max,Della Pia,DellaPia,Dem,86412,1,71465,55602,0,Nick,Langworthy,Lngwrthy,GOP,86414,2,71466,55604,0,2022-11-09T03:48:11.357Z
1667969160,2022-11-08 22:46:00 -0600,702f27aec8e9117aaf59a55a71ae69d9a7aed7a6,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,328624,99,287868,1233806,True,20221108NY36603,2022-11-08,NY,Max,Della Pia,DellaPia,Dem,86412,1,71465,55602,0,Nick,Langworthy,Lngwrthy,GOP,86414,2,71466,55604,0,2022-11-09T03:48:11.357Z
1667970027,2022-11-08 23:00:27 -0600,0d3c5c12e1d5e510cd8a9d7ec7188e7376d3702a,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,328624,99,303920,1233806,True,20221108NY36603,2022-11-08,NY,Max,Della Pia,DellaPia,Dem,86412,1,71465,55602,0,Nick,Langworthy,Lngwrthy,GOP,86414,2,71466,55604,0,2022-11-09T03:48:11.357Z
1667970812,2022-11-08 23:13:32 -0600,1aa0c0767ec6f65018ec090a318d7ab5fec791c2,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,328624,99,308009,1233806,True,20221108NY36603,2022-11-08,NY,Max,Della Pia,DellaPia,Dem,86412,1,71465,55602,0,Nick,Langworthy,Lngwrthy,GOP,86414,2,71466,55604,0,2022-11-09T03:48:11.357Z
1668015106,2022-11-09 11:31:46 -0600,90d3e1c1335a8931b636e29c902643ff6eccbab9,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,326498,99,308009,1233806,True,20221108NY36603,2022-11-08,NY,Max,Della Pia,DellaPia,Dem,86412,1,71465,55602,0,Nick,Langworthy,Lngwrthy,GOP,86414,2,71466,55604,0,2022-11-09T03:48:11.357Z
1668017667,2022-11-09 12:14:27 -0600,3654f693a279db397b6d6797cd43f2c8eaef3e1e,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,326498,99,290665,1233806,True,20221108NY36603,2022-11-08,NY,Max,Della Pia,DellaPia,Dem,86412,1,71465,55602,0,Nick,Langworthy,Lngwrthy,GOP,86414,2,71466,55604,0,2022-11-09T03:48:11.357Z
1668022481,2022-11-09 13:34:41 -0600,1e63325bf00655da2897fbaff11c82ce07d25b5f,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,306282,99,290665,1233806,True,20221108NY36603,2022-11-08,NY,Max,Della Pia,DellaPia,Dem,86412,1,71465,55602,0,Nick,Langworthy,Lngwrthy,GOP,86414,2,71466,55604,0,2022-11-09T03:48:11.357Z
1668033389,2022-11-09 16:36:29 -0600,85f900109ab1cb7224d2e2b2f799268db98b9136,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,305963,99,290665,1233806,True,20221108NY36603,2022-11-08,NY,Max,Della Pia,DellaPia,Dem,86412,1,71465,55602,0,Nick,Langworthy,Lngwrthy,GOP,86414,2,71466,55604,0,2022-11-09T03:48:11.357Z
1668117362,2022-11-10 15:56:02 -0600,3287c5663df924fb12ebed2fc8a1a2547fc6c5fa,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,305963,99,291906,1233806,True,20221108NY36603,2022-11-08,NY,Max,Della Pia,DellaPia,Dem,86412,1,71465,55602,0,Nick,Langworthy,Lngwrthy,GOP,86414,2,71466,55604,0,2022-11-09T03:48:11.357Z
1668189539,2022-11-11 11:58:59 -0600,4a333ca3705cf9ca139b1a5bb3a58002160448fb,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,303852,99,291906,1233806,True,20221108NY36603,2022-11-08,NY,Max,Della Pia,DellaPia,Dem,86412,1,71465,55602,0,Nick,Langworthy,Lngwrthy,GOP,86414,2,71466,55604,0,2022-11-09T03:48:11.357Z
1668190314,2022-11-11 12:11:54 -0600,d4ed4176e5562b1cf976c9828707517db868be7c,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,305159,99,291906,1233806,True,20221108NY36603,2022-11-08,NY,Max,Della Pia,DellaPia,Dem,86412,1,71465,55602,0,Nick,Langworthy,Lngwrthy,GOP,86414,2,71466,55604,0,2022-11-09T03:48:11.357Z
1668465988,2022-11-14 16:46:28 -0600,023704d3d6954947252a792f94de26a58e7ce2ee,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,305159,99,291985,1233806,True,20221108NY36603,2022-11-08,NY,Max,Della Pia,DellaPia,Dem,86412,1,71465,55602,0,Nick,Langworthy,Lngwrthy,GOP,86414,2,71466,55604,0,2022-11-09T03:48:11.357Z
1668627670,2022-11-16 13:41:10 -0600,46bf551aefad82d8aa9b07711f7676cdfeb4a6ac,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,305159,99,292113,1233806,True,20221108NY36603,2022-11-08,NY,Max,Della Pia,DellaPia,Dem,86412,1,71465,55602,0,Nick,Langworthy,Lngwrthy,GOP,86414,2,71466,55604,0,2022-11-09T03:48:11.357Z
