captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.86412.first,candidates.86412.last,candidates.86412.abbrv,candidates.86412.party,candidates.86412.candidateID,candidates.86412.ballotOrder,candidates.86412.polID,candidates.86412.polNum,candidates.86412.electWon,candidates.86414.first,candidates.86414.last,candidates.86414.abbrv,candidates.86414.party,candidates.86414.candidateID,candidates.86414.ballotOrder,candidates.86414.polID,candidates.86414.polNum,candidates.86414.electWon,candidates.86414.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NY-20221108_Eday62,33,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 23,23,294510,99,0,1228551,True,20221108NY36603,2022-11-08,NY,Max,Della Pia,DellaPia,Dem,86412,1,71465,55602,0,Nick,Langworthy,Lngwrthy,GOP,86414,2,71466,55604,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NY-20221108_Eday80,33,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 23,23,294510,99,0,1233806,True,20221108NY36603,2022-11-08,NY,Max,Della Pia,DellaPia,Dem,86412,1,71465,55602,0,Nick,Langworthy,Lngwrthy,GOP,86414,2,71466,55604,0,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,294510,99,0,1233806,True,20221108NY36603,2022-11-08,NY,Max,Della Pia,DellaPia,Dem,86412,1,71465,55602,0,Nick,Langworthy,Lngwrthy,GOP,86414,2,71466,55604,0,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,294510,99,16198,1233806,True,20221108NY36603,2022-11-08,NY,Max,Della Pia,DellaPia,Dem,86412,1,71465,55602,0,Nick,Langworthy,Lngwrthy,GOP,86414,2,71466,55604,0,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,294510,99,18465,1233806,True,20221108NY36603,2022-11-08,NY,Max,Della Pia,DellaPia,Dem,86412,1,71465,55602,0,Nick,Langworthy,Lngwrthy,GOP,86414,2,71466,55604,0,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,294510,99,23233,1233806,True,20221108NY36603,2022-11-08,NY,Max,Della Pia,DellaPia,Dem,86412,1,71465,55602,0,Nick,Langworthy,Lngwrthy,GOP,86414,2,71466,55604,0,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,294510,99,109991,1233806,True,20221108NY36603,2022-11-08,NY,Max,Della Pia,DellaPia,Dem,86412,1,71465,55602,0,Nick,Langworthy,Lngwrthy,GOP,86414,2,71466,55604,0,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,294510,99,123699,1233806,True,20221108NY36603,2022-11-08,NY,Max,Della Pia,DellaPia,Dem,86412,1,71465,55602,0,Nick,Langworthy,Lngwrthy,GOP,86414,2,71466,55604,0,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,294510,99,156810,1233806,True,20221108NY36603,2022-11-08,NY,Max,Della Pia,DellaPia,Dem,86412,1,71465,55602,0,Nick,Langworthy,Lngwrthy,GOP,86414,2,71466,55604,0,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,294510,99,164040,1233806,True,20221108NY36603,2022-11-08,NY,Max,Della Pia,DellaPia,Dem,86412,1,71465,55602,0,Nick,Langworthy,Lngwrthy,GOP,86414,2,71466,55604,0,
