captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.32683.first,candidates.32683.last,candidates.32683.party,candidates.32683.candidateID,candidates.32683.polID,candidates.32683.ballotOrder,candidates.32683.polNum,candidates.32683.electWon,candidates.32686.first,candidates.32686.last,candidates.32686.party,candidates.32686.candidateID,candidates.32686.polID,candidates.32686.ballotOrder,candidates.32686.polNum,candidates.32686.electWon,candidates.32691.first,candidates.32691.last,candidates.32691.party,candidates.32691.candidateID,candidates.32691.polID,candidates.32691.ballotOrder,candidates.32691.polNum,candidates.32691.electWon,candidates.32686.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MS-20221108_Eday62,25,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 4,4,242848,99,0,573840,True,20221108MS26489,2022-11-08,MS,Johnny,DuPree,Dem,32683,61400,1,28559,0,Mike,Ezell,GOP,32686,70484,2,28706,0,Alden,Johnson,Lib,32691,71638,3,28709,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,MS-20221108_Eday80,25,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 4,4,177212,99,0,573840,True,20221108MS26489,2022-11-08,MS,Johnny,DuPree,Dem,32683,61400,1,28559,0,Mike,Ezell,GOP,32686,70484,2,28706,0,Alden,Johnson,Lib,32691,71638,3,28709,0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,MS-20221108_Eday80,25,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,177212,99,14630,573840,True,20221108MS26489,2022-11-08,MS,Johnny,DuPree,Dem,32683,61400,1,28559,0,Mike,Ezell,GOP,32686,70484,2,28706,0,Alden,Johnson,Lib,32691,71638,3,28709,0,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,MS-20221108_Eday80,25,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,177212,99,26709,573840,True,20221108MS26489,2022-11-08,MS,Johnny,DuPree,Dem,32683,61400,1,28559,0,Mike,Ezell,GOP,32686,70484,2,28706,0,Alden,Johnson,Lib,32691,71638,3,28709,0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,MS-20221108_Eday80,25,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,177212,99,45124,573840,True,20221108MS26489,2022-11-08,MS,Johnny,DuPree,Dem,32683,61400,1,28559,0,Mike,Ezell,GOP,32686,70484,2,28706,0,Alden,Johnson,Lib,32691,71638,3,28709,0,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,MS-20221108_Eday80,25,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,177212,99,54809,573840,True,20221108MS26489,2022-11-08,MS,Johnny,DuPree,Dem,32683,61400,1,28559,0,Mike,Ezell,GOP,32686,70484,2,28706,0,Alden,Johnson,Lib,32691,71638,3,28709,0,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,MS-20221108_Eday80,25,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,177212,99,57993,573840,True,20221108MS26489,2022-11-08,MS,Johnny,DuPree,Dem,32683,61400,1,28559,0,Mike,Ezell,GOP,32686,70484,2,28706,0,Alden,Johnson,Lib,32691,71638,3,28709,0,,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,MS-20221108_Eday80,25,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,177944,99,94113,573840,True,20221108MS26489,2022-11-08,MS,Johnny,DuPree,Dem,32683,61400,1,28559,0,Mike,Ezell,GOP,32686,70484,2,28706,0,Alden,Johnson,Lib,32691,71638,3,28709,0,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,MS-20221108_Eday80,25,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,170526,99,118584,573840,True,20221108MS26489,2022-11-08,MS,Johnny,DuPree,Dem,32683,61400,1,28559,0,Mike,Ezell,GOP,32686,70484,2,28706,0,Alden,Johnson,Lib,32691,71638,3,28709,0,,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,MS-20221108_Eday80,25,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,170927,99,132673,573840,True,20221108MS26489,2022-11-08,MS,Johnny,DuPree,Dem,32683,61400,1,28559,0,Mike,Ezell,GOP,32686,70484,2,28706,0,Alden,Johnson,Lib,32691,71638,3,28709,0,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,MS-20221108_Eday80,25,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,170927,99,149906,573840,True,20221108MS26489,2022-11-08,MS,Johnny,DuPree,Dem,32683,61400,1,28559,0,Mike,Ezell,GOP,32686,70484,2,28706,0,Alden,Johnson,Lib,32691,71638,3,28709,0,2022-11-09T03:20:21.124Z,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,MS-20221108_Eday80,25,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,167877,99,161355,573840,True,20221108MS26489,2022-11-08,MS,Johnny,DuPree,Dem,32683,61400,1,28559,0,Mike,Ezell,GOP,32686,70484,2,28706,0,Alden,Johnson,Lib,32691,71638,3,28709,0,2022-11-09T03:20:21.124Z,
