captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.abbrv,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.49923.first,candidates.49923.last,candidates.49923.incumbent,candidates.49923.party,candidates.49923.candidateID,candidates.49923.ballotOrder,candidates.49923.polID,candidates.49923.polNum,candidates.49923.electWon,candidates.50748.first,candidates.50748.last,candidates.50748.party,candidates.50748.candidateID,candidates.50748.ballotOrder,candidates.50748.polID,candidates.50748.polNum,candidates.50748.electWon,candidates.50942.first,candidates.50942.last,candidates.50942.party,candidates.50942.candidateID,candidates.50942.ballotOrder,candidates.50942.polID,candidates.50942.polNum,candidates.50942.electWon,candidates.50943.first,candidates.50943.last,candidates.50943.party,candidates.50943.candidateID,candidates.50943.ballotOrder,candidates.50943.polID,candidates.50943.polNum,candidates.50943.electWon,candidates.50944.first,candidates.50944.last,candidates.50944.abbrv,candidates.50944.party,candidates.50944.candidateID,candidates.50944.ballotOrder,candidates.50944.polID,candidates.50944.polNum,candidates.50944.electWon,candidates.50945.first,candidates.50945.last,candidates.50945.party,candidates.50945.candidateID,candidates.50945.ballotOrder,candidates.50945.polID,candidates.50945.polNum,candidates.50945.electWon,candidates.50946.first,candidates.50946.last,candidates.50946.party,candidates.50946.candidateID,candidates.50946.ballotOrder,candidates.50946.polID,candidates.50946.polNum,candidates.50946.electWon,candidates.50947.first,candidates.50947.last,candidates.50947.party,candidates.50947.candidateID,candidates.50947.ballotOrder,candidates.50947.polID,candidates.50947.polNum,candidates.50947.electWon,candidates.50948.first,candidates.50948.last,candidates.50948.abbrv,candidates.50948.party,candidates.50948.candidateID,candidates.50948.ballotOrder,candidates.50948.polID,candidates.50948.polNum,candidates.50948.electWon,candidates.50949.first,candidates.50949.last,candidates.50949.party,candidates.50949.candidateID,candidates.50949.ballotOrder,candidates.50949.polID,candidates.50949.polNum,candidates.50949.electWon,candidates.49923.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,TN-20221108_Eday80,43,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Bill,Lee,Lee,GOP,49923,67429,46370,True,True,True,2400000,99,0,4426725,True,20221108TN43440,2022-11-08,TN,49923,Bill,Lee,True,GOP,49923,1,67429,46370,0,Jason,Martin,Dem,50748,2,70854,46808,0,Basil,Marceaux,Ind,50942,5,1418,45995,0,Deborah,Rouse,Ind,50943,8,70884,46813,0,Michael,Scantland,Scantlnd,Ind,50944,9,70886,46814,0,Rick,Tyler,Ind,50945,10,64243,46142,0,Constance,Every,Ind,50946,3,70878,46810,0,John,Gentry,Ind,50947,4,70889,46773,0,Charles,Van Morgan,VanMorgn,Ind,50948,6,70888,46811,0,Alfred,O'Neil,Ind,50949,7,70882,46812,0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,TN-20221108_Eday80,43,General,G,Active Tabulation,Called,G,Governor,Bill,Lee,Lee,GOP,49923,67429,46370,True,True,True,2400000,99,39152,4426725,True,20221108TN43440,2022-11-08,TN,49923,Bill,Lee,True,GOP,49923,1,67429,46370,0,Jason,Martin,Dem,50748,2,70854,46808,0,Basil,Marceaux,Ind,50942,5,1418,45995,0,Deborah,Rouse,Ind,50943,8,70884,46813,0,Michael,Scantland,Scantlnd,Ind,50944,9,70886,46814,0,Rick,Tyler,Ind,50945,10,64243,46142,0,Constance,Every,Ind,50946,3,70878,46810,0,John,Gentry,Ind,50947,4,70889,46773,0,Charles,Van Morgan,VanMorgn,Ind,50948,6,70888,46811,0,Alfred,O'Neil,Ind,50949,7,70882,46812,0,2022-11-09T01:02:40.329Z
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,TN-20221108_Eday80,43,General,G,Active Tabulation,Called,G,Governor,Bill,Lee,Lee,GOP,49923,67429,46370,True,True,True,2400000,99,13951,4426725,True,20221108TN43440,2022-11-08,TN,49923,Bill,Lee,True,GOP,49923,1,67429,46370,0,Jason,Martin,Dem,50748,2,70854,46808,0,Basil,Marceaux,Ind,50942,5,1418,45995,0,Deborah,Rouse,Ind,50943,8,70884,46813,0,Michael,Scantland,Scantlnd,Ind,50944,9,70886,46814,0,Rick,Tyler,Ind,50945,10,64243,46142,0,Constance,Every,Ind,50946,3,70878,46810,0,John,Gentry,Ind,50947,4,70889,46773,0,Charles,Van Morgan,VanMorgn,Ind,50948,6,70888,46811,0,Alfred,O'Neil,Ind,50949,7,70882,46812,0,2022-11-09T01:02:40.329Z
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,TN-20221108_Eday80,43,General,G,Active Tabulation,Called,G,Governor,Bill,Lee,Lee,GOP,49923,67429,46370,True,True,True,2400000,99,188386,4426725,True,20221108TN43440,2022-11-08,TN,49923,Bill,Lee,True,GOP,49923,1,67429,46370,0,Jason,Martin,Dem,50748,2,70854,46808,0,Basil,Marceaux,Ind,50942,5,1418,45995,0,Deborah,Rouse,Ind,50943,8,70884,46813,0,Michael,Scantland,Scantlnd,Ind,50944,9,70886,46814,0,Rick,Tyler,Ind,50945,10,64243,46142,0,Constance,Every,Ind,50946,3,70878,46810,0,John,Gentry,Ind,50947,4,70889,46773,0,Charles,Van Morgan,VanMorgn,Ind,50948,6,70888,46811,0,Alfred,O'Neil,Ind,50949,7,70882,46812,0,2022-11-09T01:02:40.329Z
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,TN-20221108_Eday80,43,General,G,Active Tabulation,Called,G,Governor,Bill,Lee,Lee,GOP,49923,67429,46370,True,True,True,2400000,99,223349,4426725,True,20221108TN43440,2022-11-08,TN,49923,Bill,Lee,True,GOP,49923,1,67429,46370,0,Jason,Martin,Dem,50748,2,70854,46808,0,Basil,Marceaux,Ind,50942,5,1418,45995,0,Deborah,Rouse,Ind,50943,8,70884,46813,0,Michael,Scantland,Scantlnd,Ind,50944,9,70886,46814,0,Rick,Tyler,Ind,50945,10,64243,46142,0,Constance,Every,Ind,50946,3,70878,46810,0,John,Gentry,Ind,50947,4,70889,46773,0,Charles,Van Morgan,VanMorgn,Ind,50948,6,70888,46811,0,Alfred,O'Neil,Ind,50949,7,70882,46812,0,2022-11-09T01:02:40.329Z
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,TN-20221108_Eday80,43,General,G,Active Tabulation,Called,G,Governor,Bill,Lee,Lee,GOP,49923,67429,46370,True,True,True,2400000,99,267716,4426725,True,20221108TN43440,2022-11-08,TN,49923,Bill,Lee,True,GOP,49923,1,67429,46370,0,Jason,Martin,Dem,50748,2,70854,46808,0,Basil,Marceaux,Ind,50942,5,1418,45995,0,Deborah,Rouse,Ind,50943,8,70884,46813,0,Michael,Scantland,Scantlnd,Ind,50944,9,70886,46814,0,Rick,Tyler,Ind,50945,10,64243,46142,0,Constance,Every,Ind,50946,3,70878,46810,0,John,Gentry,Ind,50947,4,70889,46773,0,Charles,Van Morgan,VanMorgn,Ind,50948,6,70888,46811,0,Alfred,O'Neil,Ind,50949,7,70882,46812,0,2022-11-09T01:02:40.329Z
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,TN-20221108_Eday80,43,General,G,Active Tabulation,Called,G,Governor,Bill,Lee,Lee,GOP,49923,67429,46370,True,True,True,2400000,99,307402,4426725,True,20221108TN43440,2022-11-08,TN,49923,Bill,Lee,True,GOP,49923,1,67429,46370,0,Jason,Martin,Dem,50748,2,70854,46808,0,Basil,Marceaux,Ind,50942,5,1418,45995,0,Deborah,Rouse,Ind,50943,8,70884,46813,0,Michael,Scantland,Scantlnd,Ind,50944,9,70886,46814,0,Rick,Tyler,Ind,50945,10,64243,46142,0,Constance,Every,Ind,50946,3,70878,46810,0,John,Gentry,Ind,50947,4,70889,46773,0,Charles,Van Morgan,VanMorgn,Ind,50948,6,70888,46811,0,Alfred,O'Neil,Ind,50949,7,70882,46812,0,2022-11-09T01:02:40.329Z
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,TN-20221108_Eday80,43,General,G,Active Tabulation,Called,G,Governor,Bill,Lee,Lee,GOP,49923,67429,46370,True,True,True,2400000,99,308907,4426725,True,20221108TN43440,2022-11-08,TN,49923,Bill,Lee,True,GOP,49923,1,67429,46370,0,Jason,Martin,Dem,50748,2,70854,46808,0,Basil,Marceaux,Ind,50942,5,1418,45995,0,Deborah,Rouse,Ind,50943,8,70884,46813,0,Michael,Scantland,Scantlnd,Ind,50944,9,70886,46814,0,Rick,Tyler,Ind,50945,10,64243,46142,0,Constance,Every,Ind,50946,3,70878,46810,0,John,Gentry,Ind,50947,4,70889,46773,0,Charles,Van Morgan,VanMorgn,Ind,50948,6,70888,46811,0,Alfred,O'Neil,Ind,50949,7,70882,46812,0,2022-11-09T01:02:40.329Z
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,TN-20221108_Eday80,43,General,G,Active Tabulation,Called,G,Governor,Bill,Lee,Lee,GOP,49923,67429,46370,True,True,True,2400000,99,382855,4426725,True,20221108TN43440,2022-11-08,TN,49923,Bill,Lee,True,GOP,49923,1,67429,46370,0,Jason,Martin,Dem,50748,2,70854,46808,0,Basil,Marceaux,Ind,50942,5,1418,45995,0,Deborah,Rouse,Ind,50943,8,70884,46813,0,Michael,Scantland,Scantlnd,Ind,50944,9,70886,46814,0,Rick,Tyler,Ind,50945,10,64243,46142,0,Constance,Every,Ind,50946,3,70878,46810,0,John,Gentry,Ind,50947,4,70889,46773,0,Charles,Van Morgan,VanMorgn,Ind,50948,6,70888,46811,0,Alfred,O'Neil,Ind,50949,7,70882,46812,0,2022-11-09T01:02:40.329Z
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,TN-20221108_Eday80,43,General,G,Active Tabulation,Called,G,Governor,Bill,Lee,Lee,GOP,49923,67429,46370,True,True,True,2400000,99,506793,4426725,True,20221108TN43440,2022-11-08,TN,49923,Bill,Lee,True,GOP,49923,1,67429,46370,0,Jason,Martin,Dem,50748,2,70854,46808,0,Basil,Marceaux,Ind,50942,5,1418,45995,0,Deborah,Rouse,Ind,50943,8,70884,46813,0,Michael,Scantland,Scantlnd,Ind,50944,9,70886,46814,0,Rick,Tyler,Ind,50945,10,64243,46142,0,Constance,Every,Ind,50946,3,70878,46810,0,John,Gentry,Ind,50947,4,70889,46773,0,Charles,Van Morgan,VanMorgn,Ind,50948,6,70888,46811,0,Alfred,O'Neil,Ind,50949,7,70882,46812,0,2022-11-09T01:02:40.329Z
