captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,candidates.3.candidateID,candidates.3.voteCount,candidates.3.votePct,candidates.4.candidateID,candidates.4.voteCount,candidates.4.votePct,candidates.5.candidateID,candidates.5.voteCount,candidates.5.votePct,candidates.6.candidateID,candidates.6.voteCount,candidates.6.votePct,candidates.7.candidateID,candidates.7.voteCount,candidates.7.votePct,candidates.8.candidateID,candidates.8.voteCount,candidates.8.votePct,candidates.9.candidateID,candidates.9.voteCount,candidates.9.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.winner,candidates.0.calledAt,candidates.0.colorIndex,candidates.1.colorIndex
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108TN43440,live,0.0,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-07T21:28:20.406Z,0,1853,0.0,50942,0,0.0,50945,0,0.0,49923,0,0.0,50947,0,0.0,50748,0,0.0,50946,0,0.0,50948,0,0.0,50949,0,0.0,50943,0,0.0,50944,0,0.0,2400000,99,0,4426725,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108TN43440,live,0.0,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T18:26:08.682Z,0,1853,0.0,50942,0,0.0,50945,0,0.0,49923,0,0.0,50947,0,0.0,50748,0,0.0,50946,0,0.0,50948,0,0.0,50949,0,0.0,50943,0,0.0,50944,0,0.0,2400000,99,0,4426725,0,0,,,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,20221108TN43440,live,0.11,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:04:33.681Z,0,1853,0.0,49923,2142,83.67,50748,350,13.67,50947,36,1.41,50946,13,0.51,50945,9,0.35,50948,5,0.2,50943,2,0.08,50944,2,0.08,50949,1,0.04,50942,0,0.0,2400000,99,2560,4426725,0,2,X,2022-11-09T01:02:40.329Z,0.0,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,20221108TN43440,live,1.07,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:09:15.722Z,11,1853,0.59,49923,18721,72.84,50748,6584,25.62,50947,152,0.59,50946,110,0.43,50943,38,0.15,50945,35,0.14,50948,26,0.1,50942,17,0.07,50944,11,0.04,50949,9,0.04,2400000,99,25703,4426725,11,20,X,2022-11-09T01:02:40.329Z,0.0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,20221108TN43440,live,1.63,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:13:14.540Z,12,1853,0.65,49923,29290,74.81,50748,9208,23.52,50947,264,0.67,50946,169,0.43,50943,71,0.18,50945,57,0.15,50948,40,0.1,50942,27,0.07,50944,15,0.04,50949,11,0.03,2400000,99,39152,4426725,12,30,X,2022-11-09T01:02:40.329Z,0.0,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,20221108TN43440,live,4.44,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:18:46.910Z,14,1853,0.76,49923,78413,73.63,50748,26260,24.66,50947,730,0.69,50946,466,0.44,50943,183,0.17,50945,156,0.15,50948,118,0.11,50942,79,0.07,50949,49,0.05,50944,38,0.04,2400000,99,106492,4426725,14,82,X,2022-11-09T01:02:40.329Z,0.0,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,20221108TN43440,live,5.24,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:23:58.062Z,15,1853,0.81,49923,92372,73.45,50748,31183,24.8,50947,917,0.73,50946,564,0.45,50943,218,0.17,50945,171,0.14,50948,129,0.1,50942,91,0.07,50944,56,0.04,50949,54,0.04,2400000,99,125755,4426725,15,97,X,2022-11-09T01:02:40.329Z,0.0,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,20221108TN43440,live,9.28,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:29:26.635Z,16,1853,0.86,49923,158307,71.08,50748,60885,27.34,50947,1366,0.61,50946,883,0.4,50943,384,0.17,50945,280,0.13,50948,206,0.09,50942,165,0.07,50949,124,0.06,50944,101,0.05,2400000,99,222701,4426725,16,172,X,2022-11-09T01:02:40.329Z,0.0,1.0
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,20221108TN43440,live,9.84,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:34:12.344Z,23,1853,1.24,49923,168334,71.27,50748,64072,27.13,50947,1485,0.63,50946,965,0.41,50943,413,0.17,50945,305,0.13,50948,215,0.09,50942,173,0.07,50949,128,0.05,50944,114,0.05,2400000,99,236204,4426725,23,182,X,2022-11-09T01:02:40.329Z,0.0,1.0
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,20221108TN43440,live,12.02,TN,Tennessee,43,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:38:26.277Z,28,1853,1.51,49923,207948,72.09,50748,75819,26.28,50947,1883,0.65,50946,1191,0.41,50943,497,0.17,50945,372,0.13,50948,252,0.09,50942,203,0.07,50949,153,0.05,50944,133,0.05,2400000,99,288451,4426725,28,223,X,2022-11-09T01:02:40.329Z,0.0,1.0
