captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.13895.first,candidates.13895.last,candidates.13895.abbrv,candidates.13895.party,candidates.13895.candidateID,candidates.13895.ballotOrder,candidates.13895.polID,candidates.13895.polNum,candidates.13895.electWon,candidates.13896.first,candidates.13896.last,candidates.13896.party,candidates.13896.candidateID,candidates.13896.ballotOrder,candidates.13896.polID,candidates.13896.polNum,candidates.13896.electWon,candidates.14106.first,candidates.14106.last,candidates.14106.party,candidates.14106.candidateID,candidates.14106.ballotOrder,candidates.14106.polID,candidates.14106.polNum,candidates.14106.electWon,candidates.14107.first,candidates.14107.last,candidates.14107.party,candidates.14107.candidateID,candidates.14107.ballotOrder,candidates.14107.polID,candidates.14107.polNum,candidates.14107.electWon,candidates.13895.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,CO-20221108_Eday80,6,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 7,7,362947,99,0,962008,True,20221108CO6954,2022-11-08,CO,Brittany,Pettersen,Pettersn,Dem,13895,1,70799,8710,0,Erik,Aadland,GOP,13896,2,70801,9644,0,Ross,Klopf,Lib,14106,3,71797,9413,0,Critter,Milton,Uty,14107,4,69587,9590,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,CO-20221108_Eday80,6,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 7,7,362327,99,0,962008,True,20221108CO6954,2022-11-08,CO,Brittany,Pettersen,Pettersn,Dem,13895,1,70799,8710,0,Erik,Aadland,GOP,13896,2,70801,9644,0,Ross,Klopf,Lib,14106,3,71797,9413,0,Critter,Milton,Uty,14107,4,69587,9590,0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,362327,99,0,962008,True,20221108CO6954,2022-11-08,CO,Brittany,Pettersen,Pettersn,Dem,13895,1,70799,8710,0,Erik,Aadland,GOP,13896,2,70801,9644,0,Ross,Klopf,Lib,14106,3,71797,9413,0,Critter,Milton,Uty,14107,4,69587,9590,0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,362327,99,228764,962008,True,20221108CO6954,2022-11-08,CO,Brittany,Pettersen,Pettersn,Dem,13895,1,70799,8710,0,Erik,Aadland,GOP,13896,2,70801,9644,0,Ross,Klopf,Lib,14106,3,71797,9413,0,Critter,Milton,Uty,14107,4,69587,9590,0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,362327,99,231100,962008,True,20221108CO6954,2022-11-08,CO,Brittany,Pettersen,Pettersn,Dem,13895,1,70799,8710,0,Erik,Aadland,GOP,13896,2,70801,9644,0,Ross,Klopf,Lib,14106,3,71797,9413,0,Critter,Milton,Uty,14107,4,69587,9590,0,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,362327,99,243074,962008,True,20221108CO6954,2022-11-08,CO,Brittany,Pettersen,Pettersn,Dem,13895,1,70799,8710,0,Erik,Aadland,GOP,13896,2,70801,9644,0,Ross,Klopf,Lib,14106,3,71797,9413,0,Critter,Milton,Uty,14107,4,69587,9590,0,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,362327,99,247895,962008,True,20221108CO6954,2022-11-08,CO,Brittany,Pettersen,Pettersn,Dem,13895,1,70799,8710,0,Erik,Aadland,GOP,13896,2,70801,9644,0,Ross,Klopf,Lib,14106,3,71797,9413,0,Critter,Milton,Uty,14107,4,69587,9590,0,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,362327,99,247893,962008,True,20221108CO6954,2022-11-08,CO,Brittany,Pettersen,Pettersn,Dem,13895,1,70799,8710,0,Erik,Aadland,GOP,13896,2,70801,9644,0,Ross,Klopf,Lib,14106,3,71797,9413,0,Critter,Milton,Uty,14107,4,69587,9590,0,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,362327,99,247895,962008,True,20221108CO6954,2022-11-08,CO,Brittany,Pettersen,Pettersn,Dem,13895,1,70799,8710,0,Erik,Aadland,GOP,13896,2,70801,9644,0,Ross,Klopf,Lib,14106,3,71797,9413,0,Critter,Milton,Uty,14107,4,69587,9590,0,,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,362327,99,252736,962008,True,20221108CO6954,2022-11-08,CO,Brittany,Pettersen,Pettersn,Dem,13895,1,70799,8710,0,Erik,Aadland,GOP,13896,2,70801,9644,0,Ross,Klopf,Lib,14106,3,71797,9413,0,Critter,Milton,Uty,14107,4,69587,9590,0,,
