captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.58549.first,candidates.58549.last,candidates.58549.incumbent,candidates.58549.party,candidates.58549.candidateID,candidates.58549.ballotOrder,candidates.58549.polID,candidates.58549.polNum,candidates.58549.electWon,candidates.63031.first,candidates.63031.last,candidates.63031.abbrv,candidates.63031.party,candidates.63031.candidateID,candidates.63031.ballotOrder,candidates.63031.polID,candidates.63031.polNum,candidates.63031.electWon,candidates.63505.first,candidates.63505.last,candidates.63505.party,candidates.63505.candidateID,candidates.63505.ballotOrder,candidates.63505.polID,candidates.63505.polNum,candidates.63505.electWon,candidates.63506.first,candidates.63506.last,candidates.63506.party,candidates.63506.candidateID,candidates.63506.ballotOrder,candidates.63506.polID,candidates.63506.polNum,candidates.63506.electWon,candidates.58549.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,TX-20221108_Eday80,44,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Greg,Abbott,GOP,58549,41404,47499,True,True,True,9750000,99,0,14625000,True,20221108TX45901,2022-11-08,TX,58549,Greg,Abbott,True,GOP,58549,1,41404,47499,0,Beto,O'Rourke,ORourke,Dem,63031,3,61921,50634,0,Delilah,Barrios,Grn,63505,2,71747,53409,0,Mark,Tippetts,Lib,63506,4,67209,52324,0,
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,TX-20221108_Eday80,44,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Greg,Abbott,GOP,58549,41404,47499,True,True,True,9750000,97,0,14625000,True,20221108TX45901,2022-11-08,TX,58549,Greg,Abbott,True,GOP,58549,1,41404,47499,0,Beto,O'Rourke,ORourke,Dem,63031,3,61921,50634,0,Delilah,Barrios,Grn,63505,2,71747,53409,0,Mark,Tippetts,Lib,63506,4,67209,52324,0,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,G,Governor,Greg,Abbott,GOP,58549,41404,47499,True,True,True,9750000,97,1483319,14625000,True,20221108TX45901,2022-11-08,TX,58549,Greg,Abbott,True,GOP,58549,1,41404,47499,0,Beto,O'Rourke,ORourke,Dem,63031,3,61921,50634,0,Delilah,Barrios,Grn,63505,2,71747,53409,0,Mark,Tippetts,Lib,63506,4,67209,52324,0,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,G,Governor,Greg,Abbott,GOP,58549,41404,47499,True,True,True,9750000,97,1964967,14625000,True,20221108TX45901,2022-11-08,TX,58549,Greg,Abbott,True,GOP,58549,1,41404,47499,0,Beto,O'Rourke,ORourke,Dem,63031,3,61921,50634,0,Delilah,Barrios,Grn,63505,2,71747,53409,0,Mark,Tippetts,Lib,63506,4,67209,52324,0,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,G,Governor,Greg,Abbott,GOP,58549,41404,47499,True,True,True,9750000,97,2025726,14625000,True,20221108TX45901,2022-11-08,TX,58549,Greg,Abbott,True,GOP,58549,1,41404,47499,0,Beto,O'Rourke,ORourke,Dem,63031,3,61921,50634,0,Delilah,Barrios,Grn,63505,2,71747,53409,0,Mark,Tippetts,Lib,63506,4,67209,52324,0,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,G,Governor,Greg,Abbott,GOP,58549,41404,47499,True,True,True,9750000,97,1964967,14625000,True,20221108TX45901,2022-11-08,TX,58549,Greg,Abbott,True,GOP,58549,1,41404,47499,0,Beto,O'Rourke,ORourke,Dem,63031,3,61921,50634,0,Delilah,Barrios,Grn,63505,2,71747,53409,0,Mark,Tippetts,Lib,63506,4,67209,52324,0,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,G,Governor,Greg,Abbott,GOP,58549,41404,47499,True,True,True,9750000,97,2025726,14625000,True,20221108TX45901,2022-11-08,TX,58549,Greg,Abbott,True,GOP,58549,1,41404,47499,0,Beto,O'Rourke,ORourke,Dem,63031,3,61921,50634,0,Delilah,Barrios,Grn,63505,2,71747,53409,0,Mark,Tippetts,Lib,63506,4,67209,52324,0,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,G,Governor,Greg,Abbott,GOP,58549,41404,47499,True,True,True,9750000,97,2473850,14625000,True,20221108TX45901,2022-11-08,TX,58549,Greg,Abbott,True,GOP,58549,1,41404,47499,0,Beto,O'Rourke,ORourke,Dem,63031,3,61921,50634,0,Delilah,Barrios,Grn,63505,2,71747,53409,0,Mark,Tippetts,Lib,63506,4,67209,52324,0,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,G,Governor,Greg,Abbott,GOP,58549,41404,47499,True,True,True,9750000,97,2212688,14625000,True,20221108TX45901,2022-11-08,TX,58549,Greg,Abbott,True,GOP,58549,1,41404,47499,0,Beto,O'Rourke,ORourke,Dem,63031,3,61921,50634,0,Delilah,Barrios,Grn,63505,2,71747,53409,0,Mark,Tippetts,Lib,63506,4,67209,52324,0,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,G,Governor,Greg,Abbott,GOP,58549,41404,47499,True,True,True,9750000,97,2529293,14625000,True,20221108TX45901,2022-11-08,TX,58549,Greg,Abbott,True,GOP,58549,1,41404,47499,0,Beto,O'Rourke,ORourke,Dem,63031,3,61921,50634,0,Delilah,Barrios,Grn,63505,2,71747,53409,0,Mark,Tippetts,Lib,63506,4,67209,52324,0,
