captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.10549.first,candidates.10549.last,candidates.10549.party,candidates.10549.candidateID,candidates.10549.ballotOrder,candidates.10549.polID,candidates.10549.polNum,candidates.10549.electWon,candidates.10555.first,candidates.10555.last,candidates.10555.abbrv,candidates.10555.party,candidates.10555.candidateID,candidates.10555.ballotOrder,candidates.10555.polID,candidates.10555.polNum,candidates.10555.electWon,candidates.10555.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,AZ-20221108_Eday64,3,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 6,6,338063,99,0,1189968,True,20221108AZ3544,2022-11-08,AZ,Kirsten,Engel,Dem,10549,1,70975,5899,0,Juan,Ciscomani,Ciscoman,GOP,10555,2,70979,6242,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,AZ-20221108_Eday80,3,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 6,6,421321,99,0,1189968,True,20221108AZ3544,2022-11-08,AZ,Kirsten,Engel,Dem,10549,1,70975,5899,0,Juan,Ciscomani,Ciscoman,GOP,10555,2,70979,6242,0,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,AZ-20221108_Eday80,3,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,421321,99,8211,1189968,True,20221108AZ3544,2022-11-08,AZ,Kirsten,Engel,Dem,10549,1,70975,5899,0,Juan,Ciscomani,Ciscoman,GOP,10555,2,70979,6242,0,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,AZ-20221108_Eday80,3,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,421321,99,18305,1189968,True,20221108AZ3544,2022-11-08,AZ,Kirsten,Engel,Dem,10549,1,70975,5899,0,Juan,Ciscomani,Ciscoman,GOP,10555,2,70979,6242,0,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,AZ-20221108_Eday80,3,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,421321,99,168086,1189968,True,20221108AZ3544,2022-11-08,AZ,Kirsten,Engel,Dem,10549,1,70975,5899,0,Juan,Ciscomani,Ciscoman,GOP,10555,2,70979,6242,0,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,AZ-20221108_Eday80,3,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,421321,99,172175,1189968,True,20221108AZ3544,2022-11-08,AZ,Kirsten,Engel,Dem,10549,1,70975,5899,0,Juan,Ciscomani,Ciscoman,GOP,10555,2,70979,6242,0,
1667968580,2022-11-08 22:36:20 -0600,8dda0f830e7e8651004cd9142ca946394c2bd364,AZ-20221108_Eday80,3,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,421321,99,172395,1189968,True,20221108AZ3544,2022-11-08,AZ,Kirsten,Engel,Dem,10549,1,70975,5899,0,Juan,Ciscomani,Ciscoman,GOP,10555,2,70979,6242,0,
1667969419,2022-11-08 22:50:19 -0600,01bf108661ea741dad657f108c5a84b69d73a32c,AZ-20221108_Eday80,3,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,375381,99,172395,1189968,True,20221108AZ3544,2022-11-08,AZ,Kirsten,Engel,Dem,10549,1,70975,5899,0,Juan,Ciscomani,Ciscoman,GOP,10555,2,70979,6242,0,
1667970156,2022-11-08 23:02:36 -0600,84ea53799ae0036a04ac85127e62d719394c963e,AZ-20221108_Eday80,3,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,375381,99,172462,1189968,True,20221108AZ3544,2022-11-08,AZ,Kirsten,Engel,Dem,10549,1,70975,5899,0,Juan,Ciscomani,Ciscoman,GOP,10555,2,70979,6242,0,
1667971839,2022-11-08 23:30:39 -0600,3cda52854e51a6576b7495d3201be6e474dda96c,AZ-20221108_Eday80,3,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,375637,99,173033,1189968,True,20221108AZ3544,2022-11-08,AZ,Kirsten,Engel,Dem,10549,1,70975,5899,0,Juan,Ciscomani,Ciscoman,GOP,10555,2,70979,6242,0,
1667972675,2022-11-08 23:44:35 -0600,abc190fd74975557bf2546720ebdf83a0ace1d57,AZ-20221108_Eday80,3,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,378869,99,178059,1189968,True,20221108AZ3544,2022-11-08,AZ,Kirsten,Engel,Dem,10549,1,70975,5899,0,Juan,Ciscomani,Ciscoman,GOP,10555,2,70979,6242,0,
