captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.abbrv,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.13042.first,candidates.13042.last,candidates.13042.incumbent,candidates.13042.party,candidates.13042.candidateID,candidates.13042.ballotOrder,candidates.13042.polID,candidates.13042.polNum,candidates.13042.electWon,candidates.13899.first,candidates.13899.last,candidates.13899.party,candidates.13899.candidateID,candidates.13899.ballotOrder,candidates.13899.polID,candidates.13899.polNum,candidates.13899.electWon,candidates.14092.first,candidates.14092.last,candidates.14092.party,candidates.14092.candidateID,candidates.14092.ballotOrder,candidates.14092.polID,candidates.14092.polNum,candidates.14092.electWon,candidates.14093.first,candidates.14093.last,candidates.14093.abbrv,candidates.14093.party,candidates.14093.candidateID,candidates.14093.ballotOrder,candidates.14093.polID,candidates.14093.polNum,candidates.14093.electWon,candidates.14094.first,candidates.14094.last,candidates.14094.party,candidates.14094.candidateID,candidates.14094.ballotOrder,candidates.14094.polID,candidates.14094.polNum,candidates.14094.electWon,candidates.13042.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,CO-20221108_Eday80,6,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Jared,Polis,Polis,Dem,13042,9302,8222,True,True,True,2600000,99,0,4316424,True,20221108CO6619,2022-11-08,CO,13042,Jared,Polis,True,Dem,13042,2,9302,8222,0,Heidi,Ganahl,GOP,13899,1,70807,9073,0,Paul,Fiorino,Uty,14092,3,53523,8172,0,Danielle,Neuschwanger,Nschwngr,AmC,14093,4,71757,9785,0,Kevin,Ruskusky,Lib,14094,5,71756,9786,0,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,G,Governor,Jared,Polis,Polis,Dem,13042,9302,8222,True,True,True,2600000,99,591974,4316424,True,20221108CO6619,2022-11-08,CO,13042,Jared,Polis,True,Dem,13042,2,9302,8222,0,Heidi,Ganahl,GOP,13899,1,70807,9073,0,Paul,Fiorino,Uty,14092,3,53523,8172,0,Danielle,Neuschwanger,Nschwngr,AmC,14093,4,71757,9785,0,Kevin,Ruskusky,Lib,14094,5,71756,9786,0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,G,Governor,Jared,Polis,Polis,Dem,13042,9302,8222,True,True,True,2600000,99,266815,4316424,True,20221108CO6619,2022-11-08,CO,13042,Jared,Polis,True,Dem,13042,2,9302,8222,0,Heidi,Ganahl,GOP,13899,1,70807,9073,0,Paul,Fiorino,Uty,14092,3,53523,8172,0,Danielle,Neuschwanger,Nschwngr,AmC,14093,4,71757,9785,0,Kevin,Ruskusky,Lib,14094,5,71756,9786,0,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,G,Governor,Jared,Polis,Polis,Dem,13042,9302,8222,True,True,True,2600000,99,591974,4316424,True,20221108CO6619,2022-11-08,CO,13042,Jared,Polis,True,Dem,13042,2,9302,8222,0,Heidi,Ganahl,GOP,13899,1,70807,9073,0,Paul,Fiorino,Uty,14092,3,53523,8172,0,Danielle,Neuschwanger,Nschwngr,AmC,14093,4,71757,9785,0,Kevin,Ruskusky,Lib,14094,5,71756,9786,0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,G,Governor,Jared,Polis,Polis,Dem,13042,9302,8222,True,True,True,2600000,99,970104,4316424,True,20221108CO6619,2022-11-08,CO,13042,Jared,Polis,True,Dem,13042,2,9302,8222,0,Heidi,Ganahl,GOP,13899,1,70807,9073,0,Paul,Fiorino,Uty,14092,3,53523,8172,0,Danielle,Neuschwanger,Nschwngr,AmC,14093,4,71757,9785,0,Kevin,Ruskusky,Lib,14094,5,71756,9786,0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,G,Governor,Jared,Polis,Polis,Dem,13042,9302,8222,True,True,True,2600000,99,950107,4316424,True,20221108CO6619,2022-11-08,CO,13042,Jared,Polis,True,Dem,13042,2,9302,8222,0,Heidi,Ganahl,GOP,13899,1,70807,9073,0,Paul,Fiorino,Uty,14092,3,53523,8172,0,Danielle,Neuschwanger,Nschwngr,AmC,14093,4,71757,9785,0,Kevin,Ruskusky,Lib,14094,5,71756,9786,0,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,G,Governor,Jared,Polis,Polis,Dem,13042,9302,8222,True,True,True,2600000,99,1138998,4316424,True,20221108CO6619,2022-11-08,CO,13042,Jared,Polis,True,Dem,13042,2,9302,8222,0,Heidi,Ganahl,GOP,13899,1,70807,9073,0,Paul,Fiorino,Uty,14092,3,53523,8172,0,Danielle,Neuschwanger,Nschwngr,AmC,14093,4,71757,9785,0,Kevin,Ruskusky,Lib,14094,5,71756,9786,0,,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,G,Governor,Jared,Polis,Polis,Dem,13042,9302,8222,True,True,True,2600000,99,1150610,4316424,True,20221108CO6619,2022-11-08,CO,13042,Jared,Polis,True,Dem,13042,2,9302,8222,0,Heidi,Ganahl,GOP,13899,1,70807,9073,0,Paul,Fiorino,Uty,14092,3,53523,8172,0,Danielle,Neuschwanger,Nschwngr,AmC,14093,4,71757,9785,0,Kevin,Ruskusky,Lib,14094,5,71756,9786,0,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,G,Governor,Jared,Polis,Polis,Dem,13042,9302,8222,True,True,True,2600000,99,1165817,4316424,True,20221108CO6619,2022-11-08,CO,13042,Jared,Polis,True,Dem,13042,2,9302,8222,0,Heidi,Ganahl,GOP,13899,1,70807,9073,0,Paul,Fiorino,Uty,14092,3,53523,8172,0,Danielle,Neuschwanger,Nschwngr,AmC,14093,4,71757,9785,0,Kevin,Ruskusky,Lib,14094,5,71756,9786,0,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,G,Governor,Jared,Polis,Polis,Dem,13042,9302,8222,True,True,True,2600000,99,1362138,4316424,True,20221108CO6619,2022-11-08,CO,13042,Jared,Polis,True,Dem,13042,2,9302,8222,0,Heidi,Ganahl,GOP,13899,1,70807,9073,0,Paul,Fiorino,Uty,14092,3,53523,8172,0,Danielle,Neuschwanger,Nschwngr,AmC,14093,4,71757,9785,0,Kevin,Ruskusky,Lib,14094,5,71756,9786,0,2022-11-09T02:58:29.510Z,
