captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.28445.first,candidates.28445.last,candidates.28445.party,candidates.28445.candidateID,candidates.28445.ballotOrder,candidates.28445.polID,candidates.28445.polNum,candidates.28445.electWon,candidates.28446.first,candidates.28446.last,candidates.28446.abbrv,candidates.28446.party,candidates.28446.candidateID,candidates.28446.ballotOrder,candidates.28446.polID,candidates.28446.polNum,candidates.28446.electWon,candidates.28446.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,WI-20221108_Eday80,50,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 3,3,318824,99,0,984338,True,20221108WI50048,2022-11-08,WI,Brad,Pfaff,Dem,28445,1,71223,53331,0,Derrick,Van Orden,VanOrden,GOP,28446,2,69183,53297,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,WI-20221108_Eday80,50,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 3,3,456405,99,0,984338,True,20221108WI50048,2022-11-08,WI,Brad,Pfaff,Dem,28445,1,71223,53331,0,Derrick,Van Orden,VanOrden,GOP,28446,2,69183,53297,0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,456405,99,10707,984338,True,20221108WI50048,2022-11-08,WI,Brad,Pfaff,Dem,28445,1,71223,53331,0,Derrick,Van Orden,VanOrden,GOP,28446,2,69183,53297,0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,456405,99,12096,984338,True,20221108WI50048,2022-11-08,WI,Brad,Pfaff,Dem,28445,1,71223,53331,0,Derrick,Van Orden,VanOrden,GOP,28446,2,69183,53297,0,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,456405,99,10707,984338,True,20221108WI50048,2022-11-08,WI,Brad,Pfaff,Dem,28445,1,71223,53331,0,Derrick,Van Orden,VanOrden,GOP,28446,2,69183,53297,0,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,456405,99,36321,984338,True,20221108WI50048,2022-11-08,WI,Brad,Pfaff,Dem,28445,1,71223,53331,0,Derrick,Van Orden,VanOrden,GOP,28446,2,69183,53297,0,,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,456405,99,39913,984338,True,20221108WI50048,2022-11-08,WI,Brad,Pfaff,Dem,28445,1,71223,53331,0,Derrick,Van Orden,VanOrden,GOP,28446,2,69183,53297,0,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,456405,99,52538,984338,True,20221108WI50048,2022-11-08,WI,Brad,Pfaff,Dem,28445,1,71223,53331,0,Derrick,Van Orden,VanOrden,GOP,28446,2,69183,53297,0,,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,456405,99,99083,984338,True,20221108WI50048,2022-11-08,WI,Brad,Pfaff,Dem,28445,1,71223,53331,0,Derrick,Van Orden,VanOrden,GOP,28446,2,69183,53297,0,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,456405,99,125629,984338,True,20221108WI50048,2022-11-08,WI,Brad,Pfaff,Dem,28445,1,71223,53331,0,Derrick,Van Orden,VanOrden,GOP,28446,2,69183,53297,0,,
