captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.4643.first,candidates.4643.last,candidates.4643.abbrv,candidates.4643.party,candidates.4643.incumbent,candidates.4643.candidateID,candidates.4643.polID,candidates.4643.ballotOrder,candidates.4643.polNum,candidates.4643.electWon,candidates.6166.first,candidates.6166.last,candidates.6166.party,candidates.6166.candidateID,candidates.6166.polID,candidates.6166.ballotOrder,candidates.6166.polNum,candidates.6166.electWon,candidates.6424.first,candidates.6424.last,candidates.6424.party,candidates.6424.candidateID,candidates.6424.polID,candidates.6424.ballotOrder,candidates.6424.polNum,candidates.6424.electWon,candidates.4643.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,OR-20221108_Eday62,38,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 3,3,321530,99,0,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,OR-20221108_Eday80,38,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 3,3,314628,99,0,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,OR-20221108_Eday80,38,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 3,3,314628,99,0,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,OR-20221108_Eday80,38,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,314628,99,139249,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,,
1667967767,2022-11-08 22:22:47 -0600,d2b302ebb94fe21871c9483192bb3df9a98f2ac1,OR-20221108_Eday80,38,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,314628,99,156851,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,,
1667968538,2022-11-08 22:35:38 -0600,921a14073c0a588fcddcb6fa0c38955a3a5e6401,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,314628,99,156851,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1667971742,2022-11-08 23:29:02 -0600,928d948d0f0c53b13f9f2ca578d94ee9e3764e1c,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,314628,99,157368,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1667973512,2022-11-08 23:58:32 -0600,c5b8277525be0367964460ee9775326f5b2cc341,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,313382,99,157368,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1667976103,2022-11-09 00:41:43 -0600,5c2c6a219a6e0642a5f516a1c66f722f5c42d6c0,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,313382,99,175452,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1667977690,2022-11-09 01:08:10 -0600,c2d57f962724e5d811f2a0173268728cbb4962f4,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,313382,99,180429,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1667978261,2022-11-09 01:17:41 -0600,2fcf177a45bf7e84f8682ce5ff329f68ac735ac5,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,327860,99,180429,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1667978300,2022-11-09 01:18:20 -0600,cc039c86c955ff3ce99cab7d92b061779609269e,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,313382,99,180429,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1667978461,2022-11-09 01:21:01 -0600,f1eaab2ad1bc5db55713124b104cf813b6eb5754,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,327860,99,180429,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1667978502,2022-11-09 01:21:42 -0600,3a9aa1fa129e28027260f73511b9ecad38e5231d,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,313382,99,180429,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1667978542,2022-11-09 01:22:22 -0600,643a62c46ea55cf4fad03f9b86a6bd47ba933cb2,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,327860,99,180429,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1667982914,2022-11-09 02:35:14 -0600,a346c9adf75cdfebf273478b219b645c9d48289e,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,327860,99,189877,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1667989964,2022-11-09 04:32:44 -0600,e12368fd650f7327d8a65280bef2d437245f4e91,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,327860,99,197419,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1668025152,2022-11-09 14:19:12 -0600,dac7a73338453720184edd9876ee42ca6d50bfbb,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,321735,99,197419,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1668026855,2022-11-09 14:47:35 -0600,35354a63ce1251e9df5e3353273099ccfa8504f7,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,321735,99,216365,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1668027647,2022-11-09 15:00:47 -0600,5dedcd743ff511e3a0f0c54025bad5df1de34044,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,301405,99,216365,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1668027689,2022-11-09 15:01:29 -0600,8085018ebd0ae250bb4f889d36c21d3c21d24392,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,321735,99,216365,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1668027729,2022-11-09 15:02:09 -0600,d5d88d1b20e1a43623c87bd459d7581b792c539a,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,301405,99,216365,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1668029347,2022-11-09 15:29:07 -0600,03e8be443fa0307e88c7bf4d1acf9f3e30552f5c,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,323286,99,216365,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1668042016,2022-11-09 19:00:16 -0600,a3e2ae83bf74abd4d94034109648becba33e23a5,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,323286,99,219866,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1668042887,2022-11-09 19:14:47 -0600,d1e703cb6904b10b82ba124e2000c0fcde7ed731,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,323286,99,243699,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1668113827,2022-11-10 14:57:07 -0600,90c81eaa4174dfbfc5122c73c9365d6bb1c8f380,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,323286,99,258610,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1668119677,2022-11-10 16:34:37 -0600,375d2dad7cfcd6cafe50575bde7c24fe54352452,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,322749,99,258610,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1668120474,2022-11-10 16:47:54 -0600,8015256161fedcaa7dd72a4e1a381213e8fe1b52,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,319037,99,258610,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1668128176,2022-11-10 18:56:16 -0600,fc18b90a8af15a7882b64d8fa0ebdbfbfda681b3,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,319037,99,281707,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1668129769,2022-11-10 19:22:49 -0600,d6b2bd6b039cc848be10c9431ecdfb5e24ab60fe,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,320199,99,281707,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1668130611,2022-11-10 19:36:51 -0600,3895c6b1c0dcbe91ba2cc96b1beace125bc4e57f,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,320199,99,284137,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1668277804,2022-11-12 12:30:04 -0600,9bb7980d018d30f7875cd93e20a325f04975fd78,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,319948,99,284137,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1668277843,2022-11-12 12:30:43 -0600,acd74715c25e8f09fc9766a5eaf910993dd779e3,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,320199,99,284137,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1668277884,2022-11-12 12:31:24 -0600,76cb256a0c266f1791bc4f5783ff6f806e7b7e71,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,319948,99,284137,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
1668281182,2022-11-12 13:26:22 -0600,c033fedc911c3fc5ea17e10a6b50909ce70aaec5,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,308596,99,284137,466732,True,20221108OR38530,2022-11-08,OR,4643,Earl,Blumenauer,Blumenr,Dem,True,4643,482,1,38593,0,Joanna,Harbour,GOP,6166,68659,2,41097,0,David,Delk,Prg,6424,65825,3,40906,0,2022-11-09T04:33:36.635Z,
