captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.56902.first,candidates.56902.last,candidates.56902.party,candidates.56902.incumbent,candidates.56902.candidateID,candidates.56902.polID,candidates.56902.ballotOrder,candidates.56902.polNum,candidates.56902.electWon,candidates.62945.first,candidates.62945.last,candidates.62945.party,candidates.62945.candidateID,candidates.62945.polID,candidates.62945.ballotOrder,candidates.62945.polNum,candidates.62945.electWon,candidates.56902.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,TX-20221108_Eday62,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,317631,99,0,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,TX-20221108_Eday80,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,266065,99,0,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,266065,99,0,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,266065,99,136523,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,266065,99,152882,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,2022-11-09T02:08:13.552Z
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,266065,99,155884,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,2022-11-09T02:08:13.552Z
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,266065,99,164554,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,2022-11-09T02:08:13.552Z
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,266065,99,168436,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,2022-11-09T02:08:13.552Z
1667967592,2022-11-08 22:19:52 -0600,bb461283809479aaf92a1a30cba63636f0c85695,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,266065,99,172302,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,2022-11-09T02:08:13.552Z
1667970114,2022-11-08 23:01:54 -0600,68b6dbb0ab0b313af53b82f98636ce9a824bdc54,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"SE, Galveston/Prt Arthur",True,District 14,14,266065,99,190038,897989,True,20221108TX45884,2022-11-08,TX,56902,Randy,Weber,GOP,True,56902,61980,1,49882,0,Mikal,Williams,Dem,62945,68162,2,52479,0,2022-11-09T02:08:13.552Z
