captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.30400.first,candidates.30400.last,candidates.30400.party,candidates.30400.incumbent,candidates.30400.candidateID,candidates.30400.polID,candidates.30400.ballotOrder,candidates.30400.polNum,candidates.30400.electWon,candidates.32200.first,candidates.32200.last,candidates.32200.party,candidates.32200.candidateID,candidates.32200.polID,candidates.32200.ballotOrder,candidates.32200.polNum,candidates.32200.electWon,candidates.32708.first,candidates.32708.last,candidates.32708.party,candidates.32708.candidateID,candidates.32708.polID,candidates.32708.ballotOrder,candidates.32708.polNum,candidates.32708.electWon,candidates.30400.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MD-20221108_Eday62,21,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 8,8,305088,99,0,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,MD-20221108_Eday80,21,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 8,8,288470,99,0,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,MD-20221108_Eday80,21,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,288470,99,0,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,MD-20221108_Eday80,21,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,288470,99,2,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,MD-20221108_Eday80,21,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,288470,99,121510,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,MD-20221108_Eday80,21,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,281939,99,121510,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,MD-20221108_Eday80,21,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,281939,99,160593,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,MD-20221108_Eday80,21,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,281939,99,170475,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,207152,99,175492,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
1667967954,2022-11-08 22:25:54 -0600,ddd8cd55583cb4e51013ac431e84d23dc8167e7a,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,H,U.S. House,True,District 8,8,207152,99,180347,722942,True,20221108MD21764,2022-11-08,MD,30400,Jamie,Raskin,Dem,True,30400,64804,2,24789,0,Gregory,Coll,GOP,32200,68547,1,26823,0,Andres,Garcia,Lib,32708,71818,3,26979,0,2022-11-09T03:54:08.372Z,
