captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.22643.first,candidates.22643.last,candidates.22643.party,candidates.22643.incumbent,candidates.22643.candidateID,candidates.22643.polID,candidates.22643.ballotOrder,candidates.22643.polNum,candidates.22643.electWon,candidates.22646.first,candidates.22646.last,candidates.22646.abbrv,candidates.22646.party,candidates.22646.candidateID,candidates.22646.polID,candidates.22646.ballotOrder,candidates.22646.polNum,candidates.22646.electWon,candidates.22643.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,GA-20221108_Eday62,11,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 7,7,312050,99,0,703424,True,20221108GA11019,2022-11-08,GA,22643,Lucy,McBath,Dem,True,22643,66683,2,15614,0,Mark,Gonsalves,Gonsalvs,GOP,22646,68904,1,15683,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,GA-20221108_Eday81,11,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 7,7,301079,99,0,703783,True,20221108GA11019,2022-11-08,GA,22643,Lucy,McBath,Dem,True,22643,66683,2,15614,0,Mark,Gonsalves,Gonsalvs,GOP,22646,68904,1,15683,0,
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,301079,99,23118,703783,True,20221108GA11019,2022-11-08,GA,22643,Lucy,McBath,Dem,True,22643,66683,2,15614,0,Mark,Gonsalves,Gonsalvs,GOP,22646,68904,1,15683,0,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,301079,99,102856,703783,True,20221108GA11019,2022-11-08,GA,22643,Lucy,McBath,Dem,True,22643,66683,2,15614,0,Mark,Gonsalves,Gonsalvs,GOP,22646,68904,1,15683,0,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,301079,99,132545,703783,True,20221108GA11019,2022-11-08,GA,22643,Lucy,McBath,Dem,True,22643,66683,2,15614,0,Mark,Gonsalves,Gonsalvs,GOP,22646,68904,1,15683,0,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,301079,99,136236,703783,True,20221108GA11019,2022-11-08,GA,22643,Lucy,McBath,Dem,True,22643,66683,2,15614,0,Mark,Gonsalves,Gonsalvs,GOP,22646,68904,1,15683,0,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 7,7,301079,99,138060,703783,True,20221108GA11019,2022-11-08,GA,22643,Lucy,McBath,Dem,True,22643,66683,2,15614,0,Mark,Gonsalves,Gonsalvs,GOP,22646,68904,1,15683,0,2022-11-09T02:17:01.986Z
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 7,7,301079,99,138863,703783,True,20221108GA11019,2022-11-08,GA,22643,Lucy,McBath,Dem,True,22643,66683,2,15614,0,Mark,Gonsalves,Gonsalvs,GOP,22646,68904,1,15683,0,2022-11-09T02:17:01.986Z
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 7,7,301079,99,140988,703783,True,20221108GA11019,2022-11-08,GA,22643,Lucy,McBath,Dem,True,22643,66683,2,15614,0,Mark,Gonsalves,Gonsalvs,GOP,22646,68904,1,15683,0,2022-11-09T02:17:01.986Z
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 7,7,301079,99,145228,703783,True,20221108GA11019,2022-11-08,GA,22643,Lucy,McBath,Dem,True,22643,66683,2,15614,0,Mark,Gonsalves,Gonsalvs,GOP,22646,68904,1,15683,0,2022-11-09T02:17:01.986Z
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 7,7,301079,99,146025,703783,True,20221108GA11019,2022-11-08,GA,22643,Lucy,McBath,Dem,True,22643,66683,2,15614,0,Mark,Gonsalves,Gonsalvs,GOP,22646,68904,1,15683,0,2022-11-09T02:17:01.986Z
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 7,7,301079,99,154116,703783,True,20221108GA11019,2022-11-08,GA,22643,Lucy,McBath,Dem,True,22643,66683,2,15614,0,Mark,Gonsalves,Gonsalvs,GOP,22646,68904,1,15683,0,2022-11-09T02:17:01.986Z
