captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.46877.first,candidates.46877.last,candidates.46877.abbrv,candidates.46877.party,candidates.46877.candidateID,candidates.46877.ballotOrder,candidates.46877.polID,candidates.46877.polNum,candidates.46877.electWon,candidates.46879.first,candidates.46879.last,candidates.46879.party,candidates.46879.candidateID,candidates.46879.ballotOrder,candidates.46879.polID,candidates.46879.polNum,candidates.46879.electWon,candidates.47050.first,candidates.47050.last,candidates.47050.party,candidates.47050.candidateID,candidates.47050.ballotOrder,candidates.47050.polID,candidates.47050.polNum,candidates.47050.electWon,candidates.46877.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,RI-20221108_Eday80,40,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,233117,99,0,524461,True,20221108RI40017,2022-11-08,RI,Seth,Magaziner,Magazinr,Dem,46877,2,71484,43071,0,Allan,Fung,GOP,46879,1,63912,42385,0,William,Gilbert,Ind,47050,3,39914,43095,0,,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,RI-20221108_Eday80,40,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,233117,99,422,524461,True,20221108RI40017,2022-11-08,RI,Seth,Magaziner,Magazinr,Dem,46877,2,71484,43071,0,Allan,Fung,GOP,46879,1,63912,42385,0,William,Gilbert,Ind,47050,3,39914,43095,0,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,RI-20221108_Eday80,40,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,233117,99,2082,524461,True,20221108RI40017,2022-11-08,RI,Seth,Magaziner,Magazinr,Dem,46877,2,71484,43071,0,Allan,Fung,GOP,46879,1,63912,42385,0,William,Gilbert,Ind,47050,3,39914,43095,0,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,RI-20221108_Eday80,40,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,233117,99,22797,524461,True,20221108RI40017,2022-11-08,RI,Seth,Magaziner,Magazinr,Dem,46877,2,71484,43071,0,Allan,Fung,GOP,46879,1,63912,42385,0,William,Gilbert,Ind,47050,3,39914,43095,0,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,RI-20221108_Eday80,40,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,233117,99,146901,524461,True,20221108RI40017,2022-11-08,RI,Seth,Magaziner,Magazinr,Dem,46877,2,71484,43071,0,Allan,Fung,GOP,46879,1,63912,42385,0,William,Gilbert,Ind,47050,3,39914,43095,0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,RI-20221108_Eday80,40,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,233587,99,161366,524461,True,20221108RI40017,2022-11-08,RI,Seth,Magaziner,Magazinr,Dem,46877,2,71484,43071,0,Allan,Fung,GOP,46879,1,63912,42385,0,William,Gilbert,Ind,47050,3,39914,43095,0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,RI-20221108_Eday80,40,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,233728,99,184704,524461,True,20221108RI40017,2022-11-08,RI,Seth,Magaziner,Magazinr,Dem,46877,2,71484,43071,0,Allan,Fung,GOP,46879,1,63912,42385,0,William,Gilbert,Ind,47050,3,39914,43095,0,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,RI-20221108_Eday80,40,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,233728,99,188586,524461,True,20221108RI40017,2022-11-08,RI,Seth,Magaziner,Magazinr,Dem,46877,2,71484,43071,0,Allan,Fung,GOP,46879,1,63912,42385,0,William,Gilbert,Ind,47050,3,39914,43095,0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,RI-20221108_Eday80,40,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,238993,99,188587,524461,True,20221108RI40017,2022-11-08,RI,Seth,Magaziner,Magazinr,Dem,46877,2,71484,43071,0,Allan,Fung,GOP,46879,1,63912,42385,0,William,Gilbert,Ind,47050,3,39914,43095,0,,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,RI-20221108_Eday80,40,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,238993,99,190193,524461,True,20221108RI40017,2022-11-08,RI,Seth,Magaziner,Magazinr,Dem,46877,2,71484,43071,0,Allan,Fung,GOP,46879,1,63912,42385,0,William,Gilbert,Ind,47050,3,39914,43095,0,,
