captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.51915.first,candidates.51915.last,candidates.51915.incumbent,candidates.51915.party,candidates.51915.candidateID,candidates.51915.ballotOrder,candidates.51915.polID,candidates.51915.polNum,candidates.51915.electWon,candidates.53160.first,candidates.53160.last,candidates.53160.abbrv,candidates.53160.party,candidates.53160.candidateID,candidates.53160.ballotOrder,candidates.53160.polID,candidates.53160.polNum,candidates.53160.electWon,candidates.51915.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,PA-20221108_Eday64,39,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 6,6,357924,99,0,621632,True,20221108PA39013,2022-11-08,PA,51915,Chrissy,Houlahan,True,Dem,51915,1,66427,45712,0,Guy,Ciarrocchi,Ciarrcch,GOP,53160,2,70059,46171,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,PA-20221108_Eday80,39,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 6,6,361829,99,0,621632,True,20221108PA39013,2022-11-08,PA,51915,Chrissy,Houlahan,True,Dem,51915,1,66427,45712,0,Guy,Ciarrocchi,Ciarrcch,GOP,53160,2,70059,46171,0,,
1667946903,2022-11-08 22:35:03 +0000,cb1028268673c8c2a42a51ee33da39f10a4ad1c1,PA-20221108_Eday80,39,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 6,6,361829,95,0,621632,True,20221108PA39013,2022-11-08,PA,51915,Chrissy,Houlahan,True,Dem,51915,1,66427,45712,0,Guy,Ciarrocchi,Ciarrcch,GOP,53160,2,70059,46171,0,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,PA-20221108_Eday80,39,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 6,6,361829,95,0,621632,True,20221108PA39013,2022-11-08,PA,51915,Chrissy,Houlahan,True,Dem,51915,1,66427,45712,0,Guy,Ciarrocchi,Ciarrcch,GOP,53160,2,70059,46171,0,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,361829,95,0,621632,True,20221108PA39013,2022-11-08,PA,51915,Chrissy,Houlahan,True,Dem,51915,1,66427,45712,0,Guy,Ciarrocchi,Ciarrcch,GOP,53160,2,70059,46171,0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,361829,95,5245,621632,True,20221108PA39013,2022-11-08,PA,51915,Chrissy,Houlahan,True,Dem,51915,1,66427,45712,0,Guy,Ciarrocchi,Ciarrcch,GOP,53160,2,70059,46171,0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,361829,95,6612,621632,True,20221108PA39013,2022-11-08,PA,51915,Chrissy,Houlahan,True,Dem,51915,1,66427,45712,0,Guy,Ciarrocchi,Ciarrcch,GOP,53160,2,70059,46171,0,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,361829,95,23493,621632,True,20221108PA39013,2022-11-08,PA,51915,Chrissy,Houlahan,True,Dem,51915,1,66427,45712,0,Guy,Ciarrocchi,Ciarrcch,GOP,53160,2,70059,46171,0,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,361829,95,59046,621632,True,20221108PA39013,2022-11-08,PA,51915,Chrissy,Houlahan,True,Dem,51915,1,66427,45712,0,Guy,Ciarrocchi,Ciarrcch,GOP,53160,2,70059,46171,0,,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,361829,95,85410,621632,True,20221108PA39013,2022-11-08,PA,51915,Chrissy,Houlahan,True,Dem,51915,1,66427,45712,0,Guy,Ciarrocchi,Ciarrcch,GOP,53160,2,70059,46171,0,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,361829,95,91125,621632,True,20221108PA39013,2022-11-08,PA,51915,Chrissy,Houlahan,True,Dem,51915,1,66427,45712,0,Guy,Ciarrocchi,Ciarrcch,GOP,53160,2,70059,46171,0,,
