captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.46050.first,candidates.46050.last,candidates.46050.incumbent,candidates.46050.party,candidates.46050.candidateID,candidates.46050.ballotOrder,candidates.46050.polID,candidates.46050.polNum,candidates.46050.electWon,candidates.47400.first,candidates.47400.last,candidates.47400.party,candidates.47400.candidateID,candidates.47400.ballotOrder,candidates.47400.polID,candidates.47400.polNum,candidates.47400.electWon,candidates.46050.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,OH-20221108_Eday80,36,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Mike,DeWine,GOP,46050,1748,40581,True,True,True,4700000,99,0,7050000,True,20221108OH36005,2022-11-08,OH,46050,Mike,DeWine,True,GOP,46050,2,1748,40581,0,Nan,Whaley,Dem,47400,1,70145,42430,0,
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,OH-20221108_Eday80,36,General,G,Polls Closed/Waiting First Report,Too Early to Call,G,Governor,Mike,DeWine,GOP,46050,1748,40581,True,True,True,4700000,99,0,7050000,True,20221108OH36005,2022-11-08,OH,46050,Mike,DeWine,True,GOP,46050,2,1748,40581,0,Nan,Whaley,Dem,47400,1,70145,42430,0,
1667955153,2022-11-09 00:52:33 +0000,5dbf5007b88cfdc60ec0e8e538e0df6eb1e86637,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,G,Governor,Mike,DeWine,GOP,46050,1748,40581,True,True,True,4700000,99,244362,7050000,True,20221108OH36005,2022-11-08,OH,46050,Mike,DeWine,True,GOP,46050,2,1748,40581,0,Nan,Whaley,Dem,47400,1,70145,42430,0,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,G,Governor,Mike,DeWine,GOP,46050,1748,40581,True,True,True,4700000,99,256719,7050000,True,20221108OH36005,2022-11-08,OH,46050,Mike,DeWine,True,GOP,46050,2,1748,40581,0,Nan,Whaley,Dem,47400,1,70145,42430,0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,G,Governor,Mike,DeWine,GOP,46050,1748,40581,True,True,True,4700000,99,524247,7050000,True,20221108OH36005,2022-11-08,OH,46050,Mike,DeWine,True,GOP,46050,2,1748,40581,0,Nan,Whaley,Dem,47400,1,70145,42430,0,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,G,Governor,Mike,DeWine,GOP,46050,1748,40581,True,True,True,4700000,99,568489,7050000,True,20221108OH36005,2022-11-08,OH,46050,Mike,DeWine,True,GOP,46050,2,1748,40581,0,Nan,Whaley,Dem,47400,1,70145,42430,0,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,G,Governor,Mike,DeWine,GOP,46050,1748,40581,True,True,True,4700000,99,1284908,7050000,True,20221108OH36005,2022-11-08,OH,46050,Mike,DeWine,True,GOP,46050,2,1748,40581,0,Nan,Whaley,Dem,47400,1,70145,42430,0,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,G,Governor,Mike,DeWine,GOP,46050,1748,40581,True,True,True,4700000,99,1321188,7050000,True,20221108OH36005,2022-11-08,OH,46050,Mike,DeWine,True,GOP,46050,2,1748,40581,0,Nan,Whaley,Dem,47400,1,70145,42430,0,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,G,Governor,Mike,DeWine,GOP,46050,1748,40581,True,True,True,4700000,99,1485159,7050000,True,20221108OH36005,2022-11-08,OH,46050,Mike,DeWine,True,GOP,46050,2,1748,40581,0,Nan,Whaley,Dem,47400,1,70145,42430,0,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,OH-20221108_Eday80,36,General,G,Active Tabulation,Called,G,Governor,Mike,DeWine,GOP,46050,1748,40581,True,True,True,4700000,99,1842257,7050000,True,20221108OH36005,2022-11-08,OH,46050,Mike,DeWine,True,GOP,46050,2,1748,40581,0,Nan,Whaley,Dem,47400,1,70145,42430,0,2022-11-09T02:03:08.895Z
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,OH-20221108_Eday80,36,General,G,Active Tabulation,Called,G,Governor,Mike,DeWine,GOP,46050,1748,40581,True,True,True,4700000,99,1940576,7050000,True,20221108OH36005,2022-11-08,OH,46050,Mike,DeWine,True,GOP,46050,2,1748,40581,0,Nan,Whaley,Dem,47400,1,70145,42430,0,2022-11-09T02:03:08.895Z
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,OH-20221108_Eday80,36,General,G,Active Tabulation,Called,G,Governor,Mike,DeWine,GOP,46050,1748,40581,True,True,True,4700000,99,2271929,7050000,True,20221108OH36005,2022-11-08,OH,46050,Mike,DeWine,True,GOP,46050,2,1748,40581,0,Nan,Whaley,Dem,47400,1,70145,42430,0,2022-11-09T02:03:08.895Z
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,OH-20221108_Eday80,36,General,G,Active Tabulation,Called,G,Governor,Mike,DeWine,GOP,46050,1748,40581,True,True,True,4700000,99,2318334,7050000,True,20221108OH36005,2022-11-08,OH,46050,Mike,DeWine,True,GOP,46050,2,1748,40581,0,Nan,Whaley,Dem,47400,1,70145,42430,0,2022-11-09T02:03:08.895Z
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,OH-20221108_Eday80,36,General,G,Active Tabulation,Called,G,Governor,Mike,DeWine,GOP,46050,1748,40581,True,True,True,4700000,99,2662644,7050000,True,20221108OH36005,2022-11-08,OH,46050,Mike,DeWine,True,GOP,46050,2,1748,40581,0,Nan,Whaley,Dem,47400,1,70145,42430,0,2022-11-09T02:03:08.895Z
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,OH-20221108_Eday80,36,General,G,Active Tabulation,Called,G,Governor,Mike,DeWine,GOP,46050,1748,40581,True,True,True,4700000,99,3119811,7050000,True,20221108OH36005,2022-11-08,OH,46050,Mike,DeWine,True,GOP,46050,2,1748,40581,0,Nan,Whaley,Dem,47400,1,70145,42430,0,2022-11-09T02:03:08.895Z
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,OH-20221108_Eday80,36,General,G,Active Tabulation,Called,G,Governor,Mike,DeWine,GOP,46050,1748,40581,True,True,True,4600000,99,3235211,7050000,True,20221108OH36005,2022-11-08,OH,46050,Mike,DeWine,True,GOP,46050,2,1748,40581,0,Nan,Whaley,Dem,47400,1,70145,42430,0,2022-11-09T02:03:08.895Z
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,OH-20221108_Eday80,36,General,G,Active Tabulation,Called,G,Governor,Mike,DeWine,GOP,46050,1748,40581,True,True,True,4600000,99,3590842,7050000,True,20221108OH36005,2022-11-08,OH,46050,Mike,DeWine,True,GOP,46050,2,1748,40581,0,Nan,Whaley,Dem,47400,1,70145,42430,0,2022-11-09T02:03:08.895Z
