captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.38234.first,candidates.38234.last,candidates.38234.abbrv,candidates.38234.party,candidates.38234.incumbent,candidates.38234.candidateID,candidates.38234.polID,candidates.38234.ballotOrder,candidates.38234.polNum,candidates.38234.electWon,candidates.39975.first,candidates.39975.last,candidates.39975.party,candidates.39975.candidateID,candidates.39975.polID,candidates.39975.ballotOrder,candidates.39975.polNum,candidates.39975.electWon,candidates.40012.first,candidates.40012.last,candidates.40012.party,candidates.40012.candidateID,candidates.40012.polID,candidates.40012.ballotOrder,candidates.40012.polNum,candidates.40012.electWon,candidates.40013.first,candidates.40013.last,candidates.40013.party,candidates.40013.candidateID,candidates.40013.polID,candidates.40013.ballotOrder,candidates.40013.polNum,candidates.40013.electWon,candidates.40014.first,candidates.40014.last,candidates.40014.party,candidates.40014.candidateID,candidates.40014.polID,candidates.40014.ballotOrder,candidates.40014.polNum,candidates.40014.electWon,candidates.38234.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NJ-20221108_Eday62,31,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 10,10,349038,99,0,1017001,True,20221108NJ31220,2022-11-08,NJ,38234,Donald,Payne Jr.,Payne,Dem,True,38234,382,1,31038,0,David,Pinckney,GOP,39975,65121,2,34262,0,Cynthia,Johnson,Ind,40012,67771,4,35220,0,Kendal,Ludden,Ind,40013,71533,5,35576,0,Clenard,Childress,Ind,40014,71532,3,33848,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NJ-20221108_Eday80,31,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 10,10,179817,99,0,1017001,True,20221108NJ31220,2022-11-08,NJ,38234,Donald,Payne Jr.,Payne,Dem,True,38234,382,1,31038,0,David,Pinckney,GOP,39975,65121,2,34262,0,Cynthia,Johnson,Ind,40012,67771,4,35220,0,Kendal,Ludden,Ind,40013,71533,5,35576,0,Clenard,Childress,Ind,40014,71532,3,33848,0,,
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,NJ-20221108_Eday80,31,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 10,10,179817,90,0,1017001,True,20221108NJ31220,2022-11-08,NJ,38234,Donald,Payne Jr.,Payne,Dem,True,38234,382,1,31038,0,David,Pinckney,GOP,39975,65121,2,34262,0,Cynthia,Johnson,Ind,40012,67771,4,35220,0,Kendal,Ludden,Ind,40013,71533,5,35576,0,Clenard,Childress,Ind,40014,71532,3,33848,0,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,NJ-20221108_Eday80,31,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 10,10,179817,90,0,1017001,True,20221108NJ31220,2022-11-08,NJ,38234,Donald,Payne Jr.,Payne,Dem,True,38234,382,1,31038,0,David,Pinckney,GOP,39975,65121,2,34262,0,Cynthia,Johnson,Ind,40012,67771,4,35220,0,Kendal,Ludden,Ind,40013,71533,5,35576,0,Clenard,Childress,Ind,40014,71532,3,33848,0,,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 10,10,179817,90,6938,1017001,True,20221108NJ31220,2022-11-08,NJ,38234,Donald,Payne Jr.,Payne,Dem,True,38234,382,1,31038,0,David,Pinckney,GOP,39975,65121,2,34262,0,Cynthia,Johnson,Ind,40012,67771,4,35220,0,Kendal,Ludden,Ind,40013,71533,5,35576,0,Clenard,Childress,Ind,40014,71532,3,33848,0,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 10,10,179817,90,22368,1017001,True,20221108NJ31220,2022-11-08,NJ,38234,Donald,Payne Jr.,Payne,Dem,True,38234,382,1,31038,0,David,Pinckney,GOP,39975,65121,2,34262,0,Cynthia,Johnson,Ind,40012,67771,4,35220,0,Kendal,Ludden,Ind,40013,71533,5,35576,0,Clenard,Childress,Ind,40014,71532,3,33848,0,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 10,10,179817,90,6938,1017001,True,20221108NJ31220,2022-11-08,NJ,38234,Donald,Payne Jr.,Payne,Dem,True,38234,382,1,31038,0,David,Pinckney,GOP,39975,65121,2,34262,0,Cynthia,Johnson,Ind,40012,67771,4,35220,0,Kendal,Ludden,Ind,40013,71533,5,35576,0,Clenard,Childress,Ind,40014,71532,3,33848,0,,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 10,10,179817,90,22368,1017001,True,20221108NJ31220,2022-11-08,NJ,38234,Donald,Payne Jr.,Payne,Dem,True,38234,382,1,31038,0,David,Pinckney,GOP,39975,65121,2,34262,0,Cynthia,Johnson,Ind,40012,67771,4,35220,0,Kendal,Ludden,Ind,40013,71533,5,35576,0,Clenard,Childress,Ind,40014,71532,3,33848,0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 10,10,179817,90,23019,1017001,True,20221108NJ31220,2022-11-08,NJ,38234,Donald,Payne Jr.,Payne,Dem,True,38234,382,1,31038,0,David,Pinckney,GOP,39975,65121,2,34262,0,Cynthia,Johnson,Ind,40012,67771,4,35220,0,Kendal,Ludden,Ind,40013,71533,5,35576,0,Clenard,Childress,Ind,40014,71532,3,33848,0,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 10,10,179817,90,31487,1017001,True,20221108NJ31220,2022-11-08,NJ,38234,Donald,Payne Jr.,Payne,Dem,True,38234,382,1,31038,0,David,Pinckney,GOP,39975,65121,2,34262,0,Cynthia,Johnson,Ind,40012,67771,4,35220,0,Kendal,Ludden,Ind,40013,71533,5,35576,0,Clenard,Childress,Ind,40014,71532,3,33848,0,,
