captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.61997.first,candidates.61997.last,candidates.61997.party,candidates.61997.incumbent,candidates.61997.candidateID,candidates.61997.polID,candidates.61997.ballotOrder,candidates.61997.polNum,candidates.61997.electWon,candidates.62960.first,candidates.62960.last,candidates.62960.party,candidates.62960.candidateID,candidates.62960.polID,candidates.62960.ballotOrder,candidates.62960.polNum,candidates.62960.electWon,candidates.63491.first,candidates.63491.last,candidates.63491.party,candidates.63491.candidateID,candidates.63491.polID,candidates.63491.ballotOrder,candidates.63491.polNum,candidates.63491.electWon,candidates.61997.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,TX-20221108_Eday62,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,Houston SW subs to Gulf,True,District 22,22,273616,99,0,607399,True,20221108TX45892,2022-11-08,TX,61997,Troy,Nehls,GOP,True,61997,68186,3,52529,0,Jamie,Jordan,Dem,62960,69861,1,53034,0,Joseph,LeBlanc,Lib,63491,69643,2,52852,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,TX-20221108_Eday80,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,Houston SW subs to Gulf,True,District 22,22,248896,99,0,607399,True,20221108TX45892,2022-11-08,TX,61997,Troy,Nehls,GOP,True,61997,68186,3,52529,0,Jamie,Jordan,Dem,62960,69861,1,53034,0,Joseph,LeBlanc,Lib,63491,69643,2,52852,0,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Houston SW subs to Gulf,True,District 22,22,248896,99,0,607399,True,20221108TX45892,2022-11-08,TX,61997,Troy,Nehls,GOP,True,61997,68186,3,52529,0,Jamie,Jordan,Dem,62960,69861,1,53034,0,Joseph,LeBlanc,Lib,63491,69643,2,52852,0,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Houston SW subs to Gulf,True,District 22,22,248896,99,8831,607399,True,20221108TX45892,2022-11-08,TX,61997,Troy,Nehls,GOP,True,61997,68186,3,52529,0,Jamie,Jordan,Dem,62960,69861,1,53034,0,Joseph,LeBlanc,Lib,63491,69643,2,52852,0,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Houston SW subs to Gulf,True,District 22,22,248896,99,39659,607399,True,20221108TX45892,2022-11-08,TX,61997,Troy,Nehls,GOP,True,61997,68186,3,52529,0,Jamie,Jordan,Dem,62960,69861,1,53034,0,Joseph,LeBlanc,Lib,63491,69643,2,52852,0,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Houston SW subs to Gulf,True,District 22,22,248896,99,40381,607399,True,20221108TX45892,2022-11-08,TX,61997,Troy,Nehls,GOP,True,61997,68186,3,52529,0,Jamie,Jordan,Dem,62960,69861,1,53034,0,Joseph,LeBlanc,Lib,63491,69643,2,52852,0,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Houston SW subs to Gulf,True,District 22,22,246889,99,177343,607399,True,20221108TX45892,2022-11-08,TX,61997,Troy,Nehls,GOP,True,61997,68186,3,52529,0,Jamie,Jordan,Dem,62960,69861,1,53034,0,Joseph,LeBlanc,Lib,63491,69643,2,52852,0,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Houston SW subs to Gulf,True,District 22,22,246889,99,177483,607399,True,20221108TX45892,2022-11-08,TX,61997,Troy,Nehls,GOP,True,61997,68186,3,52529,0,Jamie,Jordan,Dem,62960,69861,1,53034,0,Joseph,LeBlanc,Lib,63491,69643,2,52852,0,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Houston SW subs to Gulf,True,District 22,22,246889,99,194518,607399,True,20221108TX45892,2022-11-08,TX,61997,Troy,Nehls,GOP,True,61997,68186,3,52529,0,Jamie,Jordan,Dem,62960,69861,1,53034,0,Joseph,LeBlanc,Lib,63491,69643,2,52852,0,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Houston SW subs to Gulf,True,District 22,22,246889,99,194518,607399,True,20221108TX45892,2022-11-08,TX,61997,Troy,Nehls,GOP,True,61997,68186,3,52529,0,Jamie,Jordan,Dem,62960,69861,1,53034,0,Joseph,LeBlanc,Lib,63491,69643,2,52852,0,2022-11-09T04:00:29.335Z
