captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.abbrv,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.10564.first,candidates.10564.last,candidates.10564.party,candidates.10564.candidateID,candidates.10564.ballotOrder,candidates.10564.polID,candidates.10564.polNum,candidates.10564.electWon,candidates.10567.first,candidates.10567.last,candidates.10567.party,candidates.10567.candidateID,candidates.10567.ballotOrder,candidates.10567.polID,candidates.10567.polNum,candidates.10567.electWon,candidates.10564.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,AZ-20221108_Eday64,3,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Doug,Ducey,Ducey,GOP,9199,64364,5554,True,True,True,2789446,99,0,4709490,True,20221108AZ3014,2022-11-08,AZ,Katie,Hobbs,Dem,10564,1,70987,5492,0,Kari,Lake,GOP,10567,2,70992,6251,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,AZ-20221108_Eday80,3,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Doug,Ducey,Ducey,GOP,9199,64364,5554,True,True,True,2789446,99,0,4184169,True,20221108AZ3014,2022-11-08,AZ,Katie,Hobbs,Dem,10564,1,70987,5492,0,Kari,Lake,GOP,10567,2,70992,6251,0,,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,AZ-20221108_Eday80,3,General,G,Active Tabulation,Too Early to Call,G,Governor,Doug,Ducey,Ducey,GOP,9199,64364,5554,True,True,True,2789446,99,1052492,4184169,True,20221108AZ3014,2022-11-08,AZ,Katie,Hobbs,Dem,10564,1,70987,5492,0,Kari,Lake,GOP,10567,2,70992,6251,0,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,AZ-20221108_Eday80,3,General,G,Active Tabulation,Too Early to Call,G,Governor,Doug,Ducey,Ducey,GOP,9199,64364,5554,True,True,True,2789446,99,1081270,4184169,True,20221108AZ3014,2022-11-08,AZ,Katie,Hobbs,Dem,10564,1,70987,5492,0,Kari,Lake,GOP,10567,2,70992,6251,0,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,AZ-20221108_Eday80,3,General,G,Active Tabulation,Too Early to Call,G,Governor,Doug,Ducey,Ducey,GOP,9199,64364,5554,True,True,True,2789446,99,1121653,4184169,True,20221108AZ3014,2022-11-08,AZ,Katie,Hobbs,Dem,10564,1,70987,5492,0,Kari,Lake,GOP,10567,2,70992,6251,0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,AZ-20221108_Eday80,3,General,G,Active Tabulation,Too Early to Call,G,Governor,Doug,Ducey,Ducey,GOP,9199,64364,5554,True,True,True,2789446,99,1311260,4184169,True,20221108AZ3014,2022-11-08,AZ,Katie,Hobbs,Dem,10564,1,70987,5492,0,Kari,Lake,GOP,10567,2,70992,6251,0,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,AZ-20221108_Eday80,3,General,G,Active Tabulation,Too Early to Call,G,Governor,Doug,Ducey,Ducey,GOP,9199,64364,5554,True,True,True,2789446,99,1322048,4184169,True,20221108AZ3014,2022-11-08,AZ,Katie,Hobbs,Dem,10564,1,70987,5492,0,Kari,Lake,GOP,10567,2,70992,6251,0,,
1667967905,2022-11-08 22:25:05 -0600,7b53fc8cb8c53477e9f4fecf82fac92988ee5275,AZ-20221108_Eday80,3,General,G,Active Tabulation,Too Early to Call,G,Governor,Doug,Ducey,Ducey,GOP,9199,64364,5554,True,True,True,2789446,99,1322364,4184169,True,20221108AZ3014,2022-11-08,AZ,Katie,Hobbs,Dem,10564,1,70987,5492,0,Kari,Lake,GOP,10567,2,70992,6251,0,,
1667968622,2022-11-08 22:37:02 -0600,e74479d04a2cbc206da9d05d88b7661e84a5267c,AZ-20221108_Eday80,3,General,G,Active Tabulation,Too Early to Call,G,Governor,Doug,Ducey,Ducey,GOP,9199,64364,5554,True,True,True,2789446,99,1328101,4184169,True,20221108AZ3014,2022-11-08,AZ,Katie,Hobbs,Dem,10564,1,70987,5492,0,Kari,Lake,GOP,10567,2,70992,6251,0,,
1667969463,2022-11-08 22:51:03 -0600,33a57724ad86936b636ee9df9a6a905b84cec6b3,AZ-20221108_Eday80,3,General,G,Active Tabulation,Too Early to Call,G,Governor,Doug,Ducey,Ducey,GOP,9199,64364,5554,True,True,True,2789446,99,1328817,4184169,True,20221108AZ3014,2022-11-08,AZ,Katie,Hobbs,Dem,10564,1,70987,5492,0,Kari,Lake,GOP,10567,2,70992,6251,0,,
