captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.37363.first,candidates.37363.last,candidates.37363.incumbent,candidates.37363.party,candidates.37363.candidateID,candidates.37363.ballotOrder,candidates.37363.polID,candidates.37363.polNum,candidates.37363.electWon,candidates.37375.first,candidates.37375.last,candidates.37375.party,candidates.37375.candidateID,candidates.37375.ballotOrder,candidates.37375.polID,candidates.37375.polNum,candidates.37375.electWon,candidates.37969.first,candidates.37969.last,candidates.37969.party,candidates.37969.candidateID,candidates.37969.ballotOrder,candidates.37969.polID,candidates.37969.polNum,candidates.37969.electWon,candidates.37970.first,candidates.37970.last,candidates.37970.abbrv,candidates.37970.party,candidates.37970.candidateID,candidates.37970.ballotOrder,candidates.37970.polID,candidates.37970.polNum,candidates.37970.electWon,candidates.37363.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MI-20221108_Eday80,23,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 9,9,378536,99,0,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,378536,99,0,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,378536,99,7050,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,378536,99,31167,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,378536,99,32442,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,378536,99,38003,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,378536,99,40557,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,378536,99,44129,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,378536,99,47745,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,378536,99,55512,1118191,True,20221108MI23813,2022-11-08,MI,37363,Lisa,McClain,True,GOP,37363,2,69093,29830,0,Brian,Jaye,Dem,37375,1,70833,30128,0,Jake,Kelts,Lib,37969,3,71667,30498,0,Jim,Walkowicz,Walkowcz,WCP,37970,4,71668,30499,0,
