captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.38277.first,candidates.38277.last,candidates.38277.abbrv,candidates.38277.party,candidates.38277.incumbent,candidates.38277.candidateID,candidates.38277.polID,candidates.38277.ballotOrder,candidates.38277.polNum,candidates.38277.electWon,candidates.39984.first,candidates.39984.last,candidates.39984.party,candidates.39984.candidateID,candidates.39984.polID,candidates.39984.ballotOrder,candidates.39984.polNum,candidates.39984.electWon,candidates.40017.first,candidates.40017.last,candidates.40017.party,candidates.40017.candidateID,candidates.40017.polID,candidates.40017.ballotOrder,candidates.40017.polNum,candidates.40017.electWon,candidates.38277.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NJ-20221108_Eday62,31,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 12,12,382416,99,0,1001658,True,20221108NJ31223,2022-11-08,NJ,38277,Bonnie,Watson Coleman,WatsCol,Dem,True,38277,31050,1,32695,0,Darius,Mayfield,GOP,39984,70469,2,35560,0,Lynn,Genrich,Ind,40017,71535,3,35579,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NJ-20221108_Eday80,31,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 12,12,198795,99,0,1001658,True,20221108NJ31223,2022-11-08,NJ,38277,Bonnie,Watson Coleman,WatsCol,Dem,True,38277,31050,1,32695,0,Darius,Mayfield,GOP,39984,70469,2,35560,0,Lynn,Genrich,Ind,40017,71535,3,35579,0,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,NJ-20221108_Eday80,31,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 12,12,198795,90,0,1001658,True,20221108NJ31223,2022-11-08,NJ,38277,Bonnie,Watson Coleman,WatsCol,Dem,True,38277,31050,1,32695,0,Darius,Mayfield,GOP,39984,70469,2,35560,0,Lynn,Genrich,Ind,40017,71535,3,35579,0,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,NJ-20221108_Eday80,31,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 12,12,198795,90,0,1001658,True,20221108NJ31223,2022-11-08,NJ,38277,Bonnie,Watson Coleman,WatsCol,Dem,True,38277,31050,1,32695,0,Darius,Mayfield,GOP,39984,70469,2,35560,0,Lynn,Genrich,Ind,40017,71535,3,35579,0,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,198795,90,513,1001658,True,20221108NJ31223,2022-11-08,NJ,38277,Bonnie,Watson Coleman,WatsCol,Dem,True,38277,31050,1,32695,0,Darius,Mayfield,GOP,39984,70469,2,35560,0,Lynn,Genrich,Ind,40017,71535,3,35579,0,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,198795,90,31350,1001658,True,20221108NJ31223,2022-11-08,NJ,38277,Bonnie,Watson Coleman,WatsCol,Dem,True,38277,31050,1,32695,0,Darius,Mayfield,GOP,39984,70469,2,35560,0,Lynn,Genrich,Ind,40017,71535,3,35579,0,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,198795,90,42532,1001658,True,20221108NJ31223,2022-11-08,NJ,38277,Bonnie,Watson Coleman,WatsCol,Dem,True,38277,31050,1,32695,0,Darius,Mayfield,GOP,39984,70469,2,35560,0,Lynn,Genrich,Ind,40017,71535,3,35579,0,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,198795,90,49282,1001658,True,20221108NJ31223,2022-11-08,NJ,38277,Bonnie,Watson Coleman,WatsCol,Dem,True,38277,31050,1,32695,0,Darius,Mayfield,GOP,39984,70469,2,35560,0,Lynn,Genrich,Ind,40017,71535,3,35579,0,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,198795,90,42989,1001658,True,20221108NJ31223,2022-11-08,NJ,38277,Bonnie,Watson Coleman,WatsCol,Dem,True,38277,31050,1,32695,0,Darius,Mayfield,GOP,39984,70469,2,35560,0,Lynn,Genrich,Ind,40017,71535,3,35579,0,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 12,12,198795,90,49282,1001658,True,20221108NJ31223,2022-11-08,NJ,38277,Bonnie,Watson Coleman,WatsCol,Dem,True,38277,31050,1,32695,0,Darius,Mayfield,GOP,39984,70469,2,35560,0,Lynn,Genrich,Ind,40017,71535,3,35579,0,
