captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.abbrv,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.45548.first,candidates.45548.last,candidates.45548.party,candidates.45548.candidateID,candidates.45548.ballotOrder,candidates.45548.polID,candidates.45548.polNum,candidates.45548.electWon,candidates.45554.first,candidates.45554.last,candidates.45554.party,candidates.45554.candidateID,candidates.45554.ballotOrder,candidates.45554.polID,candidates.45554.polNum,candidates.45554.electWon,candidates.45952.first,candidates.45952.last,candidates.45952.party,candidates.45952.candidateID,candidates.45952.ballotOrder,candidates.45952.polID,candidates.45952.polNum,candidates.45952.electWon,candidates.45991.first,candidates.45991.last,candidates.45991.party,candidates.45991.candidateID,candidates.45991.ballotOrder,candidates.45991.polID,candidates.45991.polNum,candidates.45991.electWon,candidates.45554.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NC-20221108_Eday80,34,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Richard,Burr,Burr,GOP,42432,452,34574,True,True,True,4600000,99,0,7400077,True,20221108NC35384,2022-11-08,NC,Cheri,Beasley,Dem,45548,2,70223,37657,0,Ted,Budd,GOP,45554,4,64970,38100,0,Shannon,Bray,Lib,45952,3,67901,38497,0,Matthew,Hoh,Grn,45991,1,71642,39062,0,,
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Richard,Burr,Burr,GOP,42432,452,34574,True,True,True,4600000,99,1232533,7400077,True,20221108NC35384,2022-11-08,NC,Cheri,Beasley,Dem,45548,2,70223,37657,0,Ted,Budd,GOP,45554,4,64970,38100,0,Shannon,Bray,Lib,45952,3,67901,38497,0,Matthew,Hoh,Grn,45991,1,71642,39062,0,,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,NC-20221108_Eday80,34,General,G,Polls Closed/Waiting First Report,Too Early to Call,S,U.S. Senate,Richard,Burr,Burr,GOP,42432,452,34574,True,True,True,4600000,99,0,7400077,True,20221108NC35384,2022-11-08,NC,Cheri,Beasley,Dem,45548,2,70223,37657,0,Ted,Budd,GOP,45554,4,64970,38100,0,Shannon,Bray,Lib,45952,3,67901,38497,0,Matthew,Hoh,Grn,45991,1,71642,39062,0,,
1667955153,2022-11-09 00:52:33 +0000,5dbf5007b88cfdc60ec0e8e538e0df6eb1e86637,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Richard,Burr,Burr,GOP,42432,452,34574,True,True,True,4600000,99,1324885,7400077,True,20221108NC35384,2022-11-08,NC,Cheri,Beasley,Dem,45548,2,70223,37657,0,Ted,Budd,GOP,45554,4,64970,38100,0,Shannon,Bray,Lib,45952,3,67901,38497,0,Matthew,Hoh,Grn,45991,1,71642,39062,0,,
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Richard,Burr,Burr,GOP,42432,452,34574,True,True,True,4600000,99,1553906,7400077,True,20221108NC35384,2022-11-08,NC,Cheri,Beasley,Dem,45548,2,70223,37657,0,Ted,Budd,GOP,45554,4,64970,38100,0,Shannon,Bray,Lib,45952,3,67901,38497,0,Matthew,Hoh,Grn,45991,1,71642,39062,0,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Richard,Burr,Burr,GOP,42432,452,34574,True,True,True,4600000,99,1794663,7400077,True,20221108NC35384,2022-11-08,NC,Cheri,Beasley,Dem,45548,2,70223,37657,0,Ted,Budd,GOP,45554,4,64970,38100,0,Shannon,Bray,Lib,45952,3,67901,38497,0,Matthew,Hoh,Grn,45991,1,71642,39062,0,,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Richard,Burr,Burr,GOP,42432,452,34574,True,True,True,4600000,99,1809411,7400077,True,20221108NC35384,2022-11-08,NC,Cheri,Beasley,Dem,45548,2,70223,37657,0,Ted,Budd,GOP,45554,4,64970,38100,0,Shannon,Bray,Lib,45952,3,67901,38497,0,Matthew,Hoh,Grn,45991,1,71642,39062,0,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Richard,Burr,Burr,GOP,42432,452,34574,True,True,True,4600000,99,2027973,7400077,True,20221108NC35384,2022-11-08,NC,Cheri,Beasley,Dem,45548,2,70223,37657,0,Ted,Budd,GOP,45554,4,64970,38100,0,Shannon,Bray,Lib,45952,3,67901,38497,0,Matthew,Hoh,Grn,45991,1,71642,39062,0,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Richard,Burr,Burr,GOP,42432,452,34574,True,True,True,4600000,99,2201014,7400077,True,20221108NC35384,2022-11-08,NC,Cheri,Beasley,Dem,45548,2,70223,37657,0,Ted,Budd,GOP,45554,4,64970,38100,0,Shannon,Bray,Lib,45952,3,67901,38497,0,Matthew,Hoh,Grn,45991,1,71642,39062,0,,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Richard,Burr,Burr,GOP,42432,452,34574,True,True,True,4600000,99,2418847,7400077,True,20221108NC35384,2022-11-08,NC,Cheri,Beasley,Dem,45548,2,70223,37657,0,Ted,Budd,GOP,45554,4,64970,38100,0,Shannon,Bray,Lib,45952,3,67901,38497,0,Matthew,Hoh,Grn,45991,1,71642,39062,0,,
