captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.46883.first,candidates.46883.last,candidates.46883.incumbent,candidates.46883.party,candidates.46883.candidateID,candidates.46883.ballotOrder,candidates.46883.polID,candidates.46883.polNum,candidates.46883.electWon,candidates.46886.first,candidates.46886.last,candidates.46886.party,candidates.46886.candidateID,candidates.46886.ballotOrder,candidates.46886.polID,candidates.46886.polNum,candidates.46886.electWon,candidates.47047.first,candidates.47047.last,candidates.47047.party,candidates.47047.candidateID,candidates.47047.ballotOrder,candidates.47047.polID,candidates.47047.polNum,candidates.47047.electWon,candidates.47048.first,candidates.47048.last,candidates.47048.party,candidates.47048.candidateID,candidates.47048.ballotOrder,candidates.47048.polID,candidates.47048.polNum,candidates.47048.electWon,candidates.47049.first,candidates.47049.last,candidates.47049.abbrv,candidates.47049.party,candidates.47049.candidateID,candidates.47049.ballotOrder,candidates.47049.polID,candidates.47049.polNum,candidates.47049.electWon,candidates.46883.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,RI-20221108_Eday80,40,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Daniel,McKee,Dem,46883,39993,42352,True,True,True,420000,99,0,630000,True,20221108RI40005,2022-11-08,RI,46883,Daniel,McKee,True,Dem,46883,2,39993,42352,0,Ashley,Kalus,GOP,46886,1,71488,43469,0,Zachary,Hurwitz,Ind,47047,3,71809,43588,0,Paul,Rianna,Ind,47048,4,71810,43589,0,Elijah,Gizzarelli,Gizzarll,Lib,47049,5,71811,43587,0,,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,RI-20221108_Eday80,40,General,G,Active Tabulation,Too Early to Call,G,Governor,Daniel,McKee,Dem,46883,39993,42352,True,True,True,420000,99,8290,630000,True,20221108RI40005,2022-11-08,RI,46883,Daniel,McKee,True,Dem,46883,2,39993,42352,0,Ashley,Kalus,GOP,46886,1,71488,43469,0,Zachary,Hurwitz,Ind,47047,3,71809,43588,0,Paul,Rianna,Ind,47048,4,71810,43589,0,Elijah,Gizzarelli,Gizzarll,Lib,47049,5,71811,43587,0,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,RI-20221108_Eday80,40,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Daniel,McKee,Dem,46883,39993,42352,True,True,True,420000,99,0,630000,True,20221108RI40005,2022-11-08,RI,46883,Daniel,McKee,True,Dem,46883,2,39993,42352,0,Ashley,Kalus,GOP,46886,1,71488,43469,0,Zachary,Hurwitz,Ind,47047,3,71809,43588,0,Paul,Rianna,Ind,47048,4,71810,43589,0,Elijah,Gizzarelli,Gizzarll,Lib,47049,5,71811,43587,0,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,RI-20221108_Eday80,40,General,G,Active Tabulation,Too Early to Call,G,Governor,Daniel,McKee,Dem,46883,39993,42352,True,True,True,420000,99,8290,630000,True,20221108RI40005,2022-11-08,RI,46883,Daniel,McKee,True,Dem,46883,2,39993,42352,0,Ashley,Kalus,GOP,46886,1,71488,43469,0,Zachary,Hurwitz,Ind,47047,3,71809,43588,0,Paul,Rianna,Ind,47048,4,71810,43589,0,Elijah,Gizzarelli,Gizzarll,Lib,47049,5,71811,43587,0,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,RI-20221108_Eday80,40,General,G,Active Tabulation,Too Early to Call,G,Governor,Daniel,McKee,Dem,46883,39993,42352,True,True,True,420000,99,126571,630000,True,20221108RI40005,2022-11-08,RI,46883,Daniel,McKee,True,Dem,46883,2,39993,42352,0,Ashley,Kalus,GOP,46886,1,71488,43469,0,Zachary,Hurwitz,Ind,47047,3,71809,43588,0,Paul,Rianna,Ind,47048,4,71810,43589,0,Elijah,Gizzarelli,Gizzarll,Lib,47049,5,71811,43587,0,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,RI-20221108_Eday80,40,General,G,Active Tabulation,Too Early to Call,G,Governor,Daniel,McKee,Dem,46883,39993,42352,True,True,True,420000,99,248456,630000,True,20221108RI40005,2022-11-08,RI,46883,Daniel,McKee,True,Dem,46883,2,39993,42352,0,Ashley,Kalus,GOP,46886,1,71488,43469,0,Zachary,Hurwitz,Ind,47047,3,71809,43588,0,Paul,Rianna,Ind,47048,4,71810,43589,0,Elijah,Gizzarelli,Gizzarll,Lib,47049,5,71811,43587,0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,RI-20221108_Eday80,40,General,G,Active Tabulation,Called,G,Governor,Daniel,McKee,Dem,46883,39993,42352,True,True,True,420000,99,269000,630000,True,20221108RI40005,2022-11-08,RI,46883,Daniel,McKee,True,Dem,46883,2,39993,42352,0,Ashley,Kalus,GOP,46886,1,71488,43469,0,Zachary,Hurwitz,Ind,47047,3,71809,43588,0,Paul,Rianna,Ind,47048,4,71810,43589,0,Elijah,Gizzarelli,Gizzarll,Lib,47049,5,71811,43587,0,2022-11-09T01:51:40.731Z,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,RI-20221108_Eday80,40,General,G,Active Tabulation,Called,G,Governor,Daniel,McKee,Dem,46883,39993,42352,True,True,True,420000,99,278430,630000,True,20221108RI40005,2022-11-08,RI,46883,Daniel,McKee,True,Dem,46883,2,39993,42352,0,Ashley,Kalus,GOP,46886,1,71488,43469,0,Zachary,Hurwitz,Ind,47047,3,71809,43588,0,Paul,Rianna,Ind,47048,4,71810,43589,0,Elijah,Gizzarelli,Gizzarll,Lib,47049,5,71811,43587,0,2022-11-09T01:51:40.731Z,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,RI-20221108_Eday80,40,General,G,Active Tabulation,Called,G,Governor,Daniel,McKee,Dem,46883,39993,42352,True,True,True,420000,99,279646,630000,True,20221108RI40005,2022-11-08,RI,46883,Daniel,McKee,True,Dem,46883,2,39993,42352,0,Ashley,Kalus,GOP,46886,1,71488,43469,0,Zachary,Hurwitz,Ind,47047,3,71809,43588,0,Paul,Rianna,Ind,47048,4,71810,43589,0,Elijah,Gizzarelli,Gizzarll,Lib,47049,5,71811,43587,0,2022-11-09T01:51:40.731Z,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,RI-20221108_Eday80,40,General,G,Active Tabulation,Called,G,Governor,Daniel,McKee,Dem,46883,39993,42352,True,True,True,420000,99,298828,630000,True,20221108RI40005,2022-11-08,RI,46883,Daniel,McKee,True,Dem,46883,2,39993,42352,0,Ashley,Kalus,GOP,46886,1,71488,43469,0,Zachary,Hurwitz,Ind,47047,3,71809,43588,0,Paul,Rianna,Ind,47048,4,71810,43589,0,Elijah,Gizzarelli,Gizzarll,Lib,47049,5,71811,43587,0,2022-11-09T01:51:40.731Z,
