captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,candidates.3.candidateID,candidates.3.voteCount,candidates.3.votePct,candidates.4.candidateID,candidates.4.voteCount,candidates.4.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108RI40005,live,0.0,RI,Rhode Island,40,1,2022-11-09T01:00:00.000Z,state,0,2022-11-07T21:27:53.224Z,0,414,0.0,46883,0,0.0,46886,0,0.0,47049,0,0.0,47047,0,0.0,47048,0,0.0,420000,99,0,630000,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108RI40005,live,0.0,RI,Rhode Island,40,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T19:44:26.701Z,0,414,0.0,46883,0,0.0,46886,0,0.0,47049,0,0.0,47047,0,0.0,47048,0,0.0,420000,99,0,630000,0,0,,,,
1667946382,2022-11-08 22:26:22 +0000,73f2c650f342d3057cfca8879805e19e5c627823,20221108RI40005,live,0.0,RI,Rhode Island,40,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T22:24:54.679Z,0,414,0.0,46883,0,0.0,46886,0,0.0,47049,0,0.0,47047,0,0.0,47048,0,0.0,420000,99,0,630000,0,0,,,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,20221108RI40005,live,0.0,RI,Rhode Island,40,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:12:46.088Z,0,414,0.0,46883,0,0.0,46886,0,0.0,47049,0,0.0,47047,0,0.0,47048,0,0.0,420000,99,0,630000,0,0,,,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,20221108RI40005,live,1.97,RI,Rhode Island,40,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:19:08.935Z,11,414,2.66,46883,4417,53.28,46886,3618,43.64,47047,111,1.34,47049,75,0.9,47048,69,0.83,420000,99,8290,630000,11,8,0.0,,,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,20221108RI40005,live,6.81,RI,Rhode Island,40,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:21:54.950Z,14,414,3.38,46883,15015,52.49,46886,12707,44.42,47047,394,1.38,47048,257,0.9,47049,234,0.82,420000,99,28607,630000,14,28,0.0,1.0,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,20221108RI40005,live,30.34,RI,Rhode Island,40,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:29:10.805Z,18,414,4.35,46883,71190,55.87,46886,52412,41.13,47047,1603,1.26,47048,1113,0.87,47049,1105,0.87,420000,99,127423,630000,18,126,0.0,1.0,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,20221108RI40005,live,42.46,RI,Rhode Island,40,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:33:53.876Z,17,414,4.11,46883,98304,55.12,46886,74726,41.9,47047,2261,1.27,47048,1574,0.88,47049,1486,0.83,420000,99,178351,630000,17,176,0.0,,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,20221108RI40005,live,53.7,RI,Rhode Island,40,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:38:35.815Z,5,414,1.21,46883,125512,55.65,46886,93332,41.38,47047,2881,1.28,47048,1996,0.88,47049,1823,0.81,420000,99,225544,630000,5,222,0.0,,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,20221108RI40005,live,60.22,RI,Rhode Island,40,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:43:11.041Z,2,414,0.48,46883,141026,55.76,46886,104340,41.26,47047,3253,1.29,47048,2224,0.88,47049,2062,0.82,420000,99,252905,630000,2,249,0.0,,,
