captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.winner,candidates.0.calledAt,candidates.0.colorIndex,candidates.1.calledAt,candidates.1.colorIndex,candidates.1.winner
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108AL1683,live,0.0,AL,Alabama,1,1,2022-11-09T01:00:00.000Z,state,0,2022-11-07T20:23:29.690Z,0,1929,0.0,6047,0,0.0,6052,0,0.0,6320,0,0.0,1750000,99,0,2625000,0,0,,,,,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,20221108AL1683,live,0.01,AL,Alabama,1,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:00:50.306Z,0,1929,0.0,6052,91,75.21,6047,29,23.97,6320,1,0.83,1750000,99,121,2625000,0,0,X,2022-11-09T01:00:04.280Z,0.0,,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,20221108AL1683,live,0.01,AL,Alabama,1,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:05:11.177Z,0,1929,0.0,6052,91,75.21,6047,29,23.97,6320,1,0.83,1750000,99,121,2625000,0,0,X,2022-11-09T01:00:04.280Z,0.0,,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,20221108AL1683,live,0.04,AL,Alabama,1,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:12:36.043Z,1,1929,0.05,6047,501,69.39,6052,198,27.42,6320,23,3.19,1750000,99,722,2625000,1,1,,,1.0,2022-11-09T01:00:04.280Z,0.0,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,20221108AL1683,live,0.05,AL,Alabama,1,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:23:28.406Z,2,1929,0.1,6047,670,73.38,6052,218,23.88,6320,25,2.74,1750000,99,913,2625000,2,1,,,1.0,2022-11-09T01:00:04.280Z,0.0,X
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,20221108AL1683,live,0.12,AL,Alabama,1,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:39:19.479Z,5,1929,0.26,6052,1055,49.51,6047,1025,48.1,6320,51,2.39,1750000,99,2131,2625000,5,2,X,2022-11-09T01:00:04.280Z,0.0,,1.0,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,20221108AL1683,live,0.41,AL,Alabama,1,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:43:51.191Z,14,1929,0.73,6052,4363,61.03,6047,2627,36.75,6320,159,2.22,1750000,99,7149,2625000,14,8,X,2022-11-09T01:00:04.280Z,0.0,,1.0,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,20221108AL1683,live,0.61,AL,Alabama,1,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:49:05.834Z,21,1929,1.09,6052,6943,65.39,6047,3436,32.36,6320,239,2.25,1750000,99,10618,2625000,21,12,X,2022-11-09T01:00:04.280Z,0.0,,1.0,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,20221108AL1683,live,0.83,AL,Alabama,1,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:51:18.123Z,28,1929,1.45,6052,9249,63.74,6047,4926,33.95,6320,335,2.31,1750000,99,14510,2625000,28,16,X,2022-11-09T01:00:04.280Z,0.0,,1.0,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,20221108AL1683,live,1.05,AL,Alabama,1,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:55:46.669Z,35,1929,1.81,6052,12227,66.49,6047,5711,31.06,6320,451,2.45,1750000,99,18389,2625000,35,20,X,2022-11-09T01:00:04.280Z,0.0,,1.0,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,20221108AL1683,live,1.24,AL,Alabama,1,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:02:56.694Z,43,1929,2.23,6052,14054,65.01,6047,7040,32.56,6320,525,2.43,1750000,99,21619,2625000,43,24,X,2022-11-09T01:00:04.280Z,0.0,,1.0,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,20221108AL1683,live,3.27,AL,Alabama,1,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:06:24.521Z,94,1929,4.87,6052,35977,62.88,6047,20013,34.98,6320,1223,2.14,1750000,99,57213,2625000,94,63,X,2022-11-09T01:00:04.280Z,0.0,,1.0,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,20221108AL1683,live,4.88,AL,Alabama,1,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:11:25.205Z,155,1929,8.04,6052,55808,65.32,6047,27846,32.59,6320,1790,2.09,1750000,99,85444,2625000,155,94,X,2022-11-09T01:00:04.280Z,0.0,,1.0,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,20221108AL1683,live,6.24,AL,Alabama,1,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:16:47.992Z,204,1929,10.58,6052,72049,65.93,6047,34921,31.96,6320,2303,2.11,1750000,99,109273,2625000,204,120,X,2022-11-09T01:00:04.280Z,0.0,,1.0,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,20221108AL1683,live,7.94,AL,Alabama,1,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:22:07.956Z,257,1929,13.32,6052,94964,68.35,6047,40979,29.5,6320,2986,2.15,1750000,99,138929,2625000,257,153,X,2022-11-09T01:00:04.280Z,0.0,,1.0,
