captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.abbrv,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.6047.first,candidates.6047.last,candidates.6047.party,candidates.6047.candidateID,candidates.6047.ballotOrder,candidates.6047.polID,candidates.6047.polNum,candidates.6047.electWon,candidates.6052.first,candidates.6052.last,candidates.6052.party,candidates.6052.candidateID,candidates.6052.ballotOrder,candidates.6052.polID,candidates.6052.polNum,candidates.6052.electWon,candidates.6320.first,candidates.6320.last,candidates.6320.abbrv,candidates.6320.party,candidates.6320.candidateID,candidates.6320.ballotOrder,candidates.6320.polID,candidates.6320.polNum,candidates.6320.electWon,candidates.6052.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,AL-20221108_Eday80,1,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Richard,Shelby,Shelby,GOP,5869,1702,2843,True,True,True,1750000,99,0,2625000,True,20221108AL1683,2022-11-08,AL,Will,Boyd,Dem,6047,1,64581,3495,0,Katie,Britt,GOP,6052,2,70506,3830,0,John,Sophocleus,Sophocls,Lib,6320,3,1168,4237,0,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,S,U.S. Senate,Richard,Shelby,Shelby,GOP,5869,1702,2843,True,True,True,1750000,99,121,2625000,True,20221108AL1683,2022-11-08,AL,Will,Boyd,Dem,6047,1,64581,3495,0,Katie,Britt,GOP,6052,2,70506,3830,0,John,Sophocleus,Sophocls,Lib,6320,3,1168,4237,0,2022-11-09T01:00:04.280Z
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Richard,Shelby,Shelby,GOP,5869,1702,2843,True,True,True,1750000,99,722,2625000,True,20221108AL1683,2022-11-08,AL,Will,Boyd,Dem,6047,1,64581,3495,0,Katie,Britt,GOP,6052,2,70506,3830,0,John,Sophocleus,Sophocls,Lib,6320,3,1168,4237,0,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,S,U.S. Senate,Richard,Shelby,Shelby,GOP,5869,1702,2843,True,True,True,1750000,99,121,2625000,True,20221108AL1683,2022-11-08,AL,Will,Boyd,Dem,6047,1,64581,3495,0,Katie,Britt,GOP,6052,2,70506,3830,0,John,Sophocleus,Sophocls,Lib,6320,3,1168,4237,0,2022-11-09T01:00:04.280Z
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,S,U.S. Senate,Richard,Shelby,Shelby,GOP,5869,1702,2843,True,True,True,1750000,99,913,2625000,True,20221108AL1683,2022-11-08,AL,Will,Boyd,Dem,6047,1,64581,3495,0,Katie,Britt,GOP,6052,2,70506,3830,0,John,Sophocleus,Sophocls,Lib,6320,3,1168,4237,0,2022-11-09T01:00:04.280Z
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,S,U.S. Senate,Richard,Shelby,Shelby,GOP,5869,1702,2843,True,True,True,1750000,99,1497,2625000,True,20221108AL1683,2022-11-08,AL,Will,Boyd,Dem,6047,1,64581,3495,0,Katie,Britt,GOP,6052,2,70506,3830,0,John,Sophocleus,Sophocls,Lib,6320,3,1168,4237,0,2022-11-09T01:00:04.280Z
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,S,U.S. Senate,Richard,Shelby,Shelby,GOP,5869,1702,2843,True,True,True,1750000,99,913,2625000,True,20221108AL1683,2022-11-08,AL,Will,Boyd,Dem,6047,1,64581,3495,0,Katie,Britt,GOP,6052,2,70506,3830,0,John,Sophocleus,Sophocls,Lib,6320,3,1168,4237,0,2022-11-09T01:00:04.280Z
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,S,U.S. Senate,Richard,Shelby,Shelby,GOP,5869,1702,2843,True,True,True,1750000,99,1497,2625000,True,20221108AL1683,2022-11-08,AL,Will,Boyd,Dem,6047,1,64581,3495,0,Katie,Britt,GOP,6052,2,70506,3830,0,John,Sophocleus,Sophocls,Lib,6320,3,1168,4237,0,2022-11-09T01:00:04.280Z
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,S,U.S. Senate,Richard,Shelby,Shelby,GOP,5869,1702,2843,True,True,True,1750000,99,14510,2625000,True,20221108AL1683,2022-11-08,AL,Will,Boyd,Dem,6047,1,64581,3495,0,Katie,Britt,GOP,6052,2,70506,3830,0,John,Sophocleus,Sophocls,Lib,6320,3,1168,4237,0,2022-11-09T01:00:04.280Z
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,S,U.S. Senate,Richard,Shelby,Shelby,GOP,5869,1702,2843,True,True,True,1750000,99,43717,2625000,True,20221108AL1683,2022-11-08,AL,Will,Boyd,Dem,6047,1,64581,3495,0,Katie,Britt,GOP,6052,2,70506,3830,0,John,Sophocleus,Sophocls,Lib,6320,3,1168,4237,0,2022-11-09T01:00:04.280Z
