captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,uncontested,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.57401.first,candidates.57401.last,candidates.57401.abbrv,candidates.57401.party,candidates.57401.incumbent,candidates.57401.candidateID,candidates.57401.polID,candidates.57401.ballotOrder,candidates.57401.polNum,candidates.57401.electWon,candidates.57401.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,TX-20221108_Eday62,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,"N Central, Arlington",True,True,District 25,25,496800,99,0,1218599,True,20221108TX45895,2022-11-08,TX,57401,Roger,Williams,RWllms,GOP,True,57401,62001,1,50605,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,TX-20221108_Eday80,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,"N Central, Arlington",True,True,District 25,25,496800,99,0,1218599,True,20221108TX45895,2022-11-08,TX,57401,Roger,Williams,RWllms,GOP,True,57401,62001,1,50605,0,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"N Central, Arlington",True,True,District 25,25,496800,99,0,1218599,True,20221108TX45895,2022-11-08,TX,57401,Roger,Williams,RWllms,GOP,True,57401,62001,1,50605,0,2022-11-09T02:01:03.009Z
