captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt,candidates.1.winner,candidates.1.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108FL10013,live,0.0,FL,Florida,10,1,2022-11-08T23:00:00.000Z,state,0,2022-11-07T03:02:44.611Z,0,164,0.0,23196,0,0.0,23194,0,0.0,306295,99,0,806113,0,0,,,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108FL10013,live,0.0,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-08T21:05:43.395Z,0,164,0.0,23196,0,0.0,23194,0,0.0,332797,99,0,806113,0,0,,,,,,
1667952254,2022-11-09 00:04:14 +0000,01f078a675119f6cdf4e095b5cc2a41189aff91c,20221108FL10013,live,0.0,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-08T23:55:47.138Z,0,164,0.0,23196,0,0.0,23194,0,0.0,292202,99,0,806113,0,0,,,,,,
1667952515,2022-11-09 00:08:35 +0000,b696a55e80164ecdcb71059e68ae6204a1f65e5b,20221108FL10013,live,0.0,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:01:17.698Z,0,164,0.0,23196,0,0.0,23194,0,0.0,292202,99,0,806113,0,0,,,,,,
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,20221108FL10013,live,27.25,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:09:30.755Z,0,164,0.0,23194,46734,58.69,23196,32894,41.31,292202,99,79628,806113,0,45,0.0,,,,,
1667953518,2022-11-09 00:25:18 +0000,c5fd4e03c2339afc5fd044a64f91f261b7e7cfa1,20221108FL10013,live,52.28,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:20:33.271Z,23,164,14.02,23196,80452,52.67,23194,72305,47.33,292202,99,152757,806113,23,86,1.0,0.0,,,,
1667953790,2022-11-09 00:29:50 +0000,6070b11d4c3c0a9b2acaa63cc75a94579377e299,20221108FL10013,live,61.72,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:24:33.344Z,23,164,14.02,23196,101328,56.18,23194,79028,43.82,292202,99,180356,806113,23,101,1.0,0.0,,,,
1667954061,2022-11-09 00:34:21 +0000,f42b15f4268586407ce223466d2394d526a81df4,20221108FL10013,live,61.72,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:27:57.678Z,23,164,14.02,23196,101328,56.18,23194,79028,43.82,292202,99,180356,806113,23,101,1.0,0.0,,,,
1667954328,2022-11-09 00:38:48 +0000,bfe97281aaab58d7c74edee2f505906bcc18daea,20221108FL10013,live,67.74,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:33:35.125Z,37,164,22.56,23196,111038,56.1,23194,86896,43.9,292202,99,197934,806113,37,111,1.0,0.0,,,,
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,20221108FL10013,live,77.65,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:39:23.389Z,79,164,48.17,23196,134798,59.41,23194,92110,40.59,292202,99,226908,806113,79,127,1.0,0.0,,,,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,20221108FL10013,live,77.65,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:43:25.778Z,79,164,48.17,23196,134798,59.41,23194,92110,40.59,292202,99,226908,806113,79,127,1.0,0.0,,,,
1667955153,2022-11-09 00:52:33 +0000,5dbf5007b88cfdc60ec0e8e538e0df6eb1e86637,20221108FL10013,live,77.65,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:48:29.529Z,79,164,48.17,23196,134798,59.41,23194,92110,40.59,292202,99,226908,806113,79,127,1.0,0.0,,,,
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,20221108FL10013,live,82.81,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:52:32.084Z,88,164,53.66,23196,142238,58.79,23194,99720,41.21,292202,99,241958,806113,88,136,1.0,0.0,,,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,20221108FL10013,live,88.33,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:06:28.891Z,106,164,64.63,23196,155966,60.43,23194,102144,39.57,292202,99,258110,806113,106,145,1.0,0.0,,,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,20221108FL10013,live,90.25,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:10:22.266Z,111,164,67.68,23196,160366,60.81,23194,103350,39.19,292202,99,263716,806113,111,148,1.0,0.0,X,2022-11-09T01:10:21.976Z,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,20221108FL10013,live,85.95,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:15:29.025Z,111,164,67.68,23196,160366,60.81,23194,103350,39.19,306812,99,263716,806113,111,141,1.0,0.0,X,2022-11-09T01:10:21.976Z,,
